round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8711,0.1740,0.2276,0.1741,0.7661,495.2351,9618.9859,10114.2210
1,0.8788,0.1763,0.2276,0.1764,0.7058,495.2351,495.2351,990.4703
2,0.8780,0.1757,0.3391,0.1759,0.6861,495.2351,9618.9859,10114.2210
3,0.8920,0.1784,0.3391,0.1787,0.6498,495.2351,495.2351,990.4703
4,0.8946,0.1787,0.3283,0.1788,0.6412,495.2351,9618.9859,10114.2210
5,0.8943,0.1788,0.3283,0.1788,0.6343,495.2351,495.2351,990.4703
6,0.8988,0.1797,0.3260,0.1795,0.6285,495.2351,9618.9859,10114.2210
