dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,FedALA,1,phase1,0.49566667,8.333e-05,,
cifar10,FedALA,2,phase1,0.50433333,0.00045833,,
cifar10,FedALA,3,phase1,0.643,0.0,,
cifar10,FedALA,4,phase1,0.6885,0.0,,
cifar10,FedALA,5,phase1,0.705,0.0,,
cifar10,FedALA,6,phase1,0.711,0.0,,
cifar10,FedALA,7,phase1,0.72133333,0.0,,
cifar10,FedALA,8,phase1,0.7275,0.0,,
cifar10,FedALA,9,phase1,0.73,0.0,,
cifar10,FedALA,10,phase1,0.73716667,0.0,,
cifar10,FedALA,11,phase1,0.742,0.0,,
cifar10,FedALA,12,phase1,0.74583333,0.0,,
cifar10,FedALA,13,phase1,0.747,0.0,,
cifar10,FedALA,14,phase1,0.75166667,0.0,,
cifar10,FedALA,15,phase1,0.7525,0.0,,
cifar10,FedALA,16,phase1,0.757,0.0,,
cifar10,FedALA,17,phase1,0.7595,0.0,,
cifar10,FedALA,18,phase1,0.761,0.0,,
cifar10,FedALA,19,phase1,0.763,0.0,,
cifar10,FedALA,20,phase1,0.761,0.0,,
cifar10,FedALA,21,phase1,0.763,0.0,,
cifar10,FedALA,22,phase1,0.76733333,0.0,,
cifar10,FedALA,23,phase1,0.76616667,0.0,,
cifar10,FedALA,24,phase1,0.7685,0.0,,
cifar10,FedALA,25,phase1,0.77533333,0.0,,
cifar10,FedALA,26,phase1,0.76966667,0.0,,
cifar10,FedALA,27,phase1,0.7725,0.0,,
cifar10,FedALA,28,phase1,0.76633333,0.0,,
cifar10,FedALA,29,phase1,0.78133333,0.0,,
cifar10,FedALA,30,phase1,0.78033333,0.0,,
cifar10,FedALA,31,phase1,0.78283333,0.0,,
cifar10,FedALA,32,phase1,0.783,0.0,,
cifar10,FedALA,33,phase1,0.784,0.0,,
cifar10,FedALA,34,phase1,0.784,0.0,,
cifar10,FedALA,35,phase1,0.79366667,0.0,,
cifar10,FedALA,36,phase1,0.78783333,0.0,,
cifar10,FedALA,37,phase1,0.781,0.0,,
cifar10,FedALA,38,phase1,0.7935,0.0,,
cifar10,FedALA,39,phase1,0.7925,0.0,,
cifar10,FedALA,40,phase1,0.79816667,0.0,,
cifar10,FedALA,41,phase1,0.799,0.0,,
cifar10,FedALA,42,phase1,0.80416667,0.0,,
cifar10,FedALA,43,phase1,0.8045,0.0,,
cifar10,FedALA,44,phase1,0.80866667,0.0,,
cifar10,FedALA,45,phase1,0.8125,0.0,,
cifar10,FedALA,46,phase1,0.81416667,0.0,,
cifar10,FedALA,47,phase1,0.81366667,0.0,,
cifar10,FedALA,48,phase1,0.81416667,0.0,,
cifar10,FedALA,49,phase1,0.81666667,0.0,,
cifar10,FedALA,50,phase1,0.82033333,0.0,,
cifar10,FedALA,51,phase2,0.815,0.0,0.0,0.1125
cifar10,FedALA,52,phase2,0.77816667,0.0,0.0,0.132625
cifar10,FedALA,53,phase2,0.75533333,0.0,0.5365,0.004125
