round,test_acc,train_loss,uplink_mb,downlink_mb
1,0.0952,2.4316,0.00,10246.39
2,0.5614,1.6322,10246.39,20492.78
3,0.7087,0.9040,20492.78,30739.18
4,0.7676,0.6895,30739.18,40985.57
5,0.7901,0.5948,40985.57,51231.96
6,0.8082,0.5286,51231.96,61478.35
7,0.8228,0.4724,61478.35,71724.75
8,0.8289,0.4451,71724.75,81971.14
9,0.8329,0.4225,81971.14,92217.53
10,0.8453,0.3810,92217.53,102463.92
11,0.8431,0.3692,102463.92,112710.32
12,0.8482,0.3414,112710.32,122956.71
13,0.8536,0.3226,122956.71,133203.10
14,0.8593,0.3002,133203.10,143449.49
15,0.8605,0.2837,143449.49,153695.89
16,0.8617,0.2694,153695.89,163942.28
17,0.8669,0.2506,163942.28,174188.67
18,0.8680,0.2393,174188.67,184435.06
19,0.8683,0.2226,184435.06,194681.45
20,0.8715,0.2092,194681.45,204927.85
21,0.8716,0.2014,204927.85,215174.24
22,0.8718,0.1937,215174.24,225420.63
23,0.8743,0.1821,225420.63,235667.02
24,0.8742,0.1745,235667.02,245913.42
25,0.8752,0.1621,245913.42,256159.81
26,0.8755,0.1535,256159.81,266406.20
27,0.8788,0.1469,266406.20,276652.59
28,0.8771,0.1397,276652.59,286898.99
29,0.8782,0.1303,286898.99,297145.38
30,0.8772,0.1292,297145.38,307391.77
31,0.8813,0.1145,307391.77,317638.16
32,0.8813,0.1114,317638.16,327884.56
33,0.8814,0.1063,327884.56,338130.95
34,0.8817,0.0998,338130.95,348377.34
35,0.8807,0.0949,348377.34,358623.73
36,0.8845,0.0880,358623.73,368870.13
37,0.8836,0.0831,368870.13,379116.52
38,0.8841,0.0786,379116.52,389362.91
39,0.8839,0.0738,389362.91,399609.30
40,0.8873,0.0690,399609.30,409855.69
41,0.8847,0.0670,409855.69,420102.09
42,0.8849,0.0649,420102.09,430348.48
43,0.8858,0.0611,430348.48,440594.87
44,0.8866,0.0568,440594.87,450841.26
45,0.8859,0.0582,450841.26,461087.66
46,0.8863,0.0503,461087.66,471334.05
47,0.8873,0.0499,471334.05,481580.44
48,0.8861,0.0474,481580.44,491826.83
49,0.8862,0.0462,491826.83,502073.23
50,0.8860,0.0437,502073.23,512319.62
51,0.8861,0.0456,512319.62,522566.01
52,0.8862,0.0409,522566.01,532812.40
53,0.8869,0.0392,532812.40,543058.80
54,0.8866,0.0395,543058.80,553305.19
55,0.8873,0.0383,553305.19,563551.58
56,0.8867,0.0342,563551.58,573797.97
57,0.8875,0.0330,573797.97,584044.36
58,0.8895,0.0323,584044.36,594290.76
59,0.8880,0.0325,594290.76,604537.15
60,0.8885,0.0301,604537.15,614783.54
61,0.8888,0.0289,614783.54,625029.93
62,0.8875,0.0272,625029.93,635276.33
63,0.8882,0.0267,635276.33,645522.72
64,0.8892,0.0247,645522.72,655769.11
65,0.8886,0.0271,655769.11,666015.50
66,0.8891,0.0256,666015.50,676261.90
67,0.8889,0.0249,676261.90,686508.29
68,0.8909,0.0234,686508.29,696754.68
69,0.8893,0.0219,696754.68,707001.07
70,0.8891,0.0231,707001.07,717247.47
71,0.8899,0.0221,717247.47,727493.86
72,0.8888,0.0213,727493.86,737740.25
73,0.8888,0.0201,737740.25,747986.64
74,0.8887,0.0197,747986.64,758233.03
75,0.8890,0.0227,758233.03,768479.43
76,0.8903,0.0204,768479.43,778725.82
77,0.8889,0.0191,778725.82,788972.21
78,0.8896,0.0185,788972.21,799218.60
79,0.8893,0.0186,799218.60,809465.00
80,0.8890,0.0174,809465.00,819711.39
81,0.8878,0.0185,819711.39,829957.78
82,0.8894,0.0168,829957.78,840204.17
83,0.8891,0.0168,840204.17,850450.57
84,0.8886,0.0187,850450.57,860696.96
85,0.8891,0.0176,860696.96,870943.35
86,0.8891,0.0163,870943.35,881189.74
87,0.8892,0.0151,881189.74,891436.14
88,0.8893,0.0152,891436.14,901682.53
89,0.8895,0.0148,901682.53,911928.92
90,0.8899,0.0146,911928.92,922175.31
91,0.8899,0.0136,922175.31,932421.71
92,0.8900,0.0131,932421.71,942668.10
93,0.8902,0.0128,942668.10,952914.49
94,0.8894,0.0127,952914.49,963160.88
95,0.8902,0.0125,963160.88,973407.27
96,0.8900,0.0120,973407.27,983653.67
97,0.8907,0.0122,983653.67,993900.06
98,0.8905,0.0132,993900.06,1004146.45
99,0.8907,0.0115,1004146.45,1014392.84
100,0.8904,0.0106,1014392.84,1024639.24
101,0.8899,0.0107,1024639.24,1034885.63
