round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8446,0.1686,0.2458,0.5775,9619.0019,9619.0019,19238.0038
1,0.8633,0.1726,0.1716,0.3445,9619.0019,495.2512,10114.2531
2,0.8748,0.1748,0.1747,0.2962,9619.0019,495.2512,10114.2531
3,0.8811,0.1761,0.1756,0.2700,9619.0019,495.2512,10114.2531
4,0.8868,0.1776,0.4148,0.2610,9619.0019,9619.0019,19238.0038
5,0.8875,0.1776,0.1734,0.2527,9619.0019,495.2512,10114.2531
6,0.8918,0.1782,0.1755,0.2430,9619.0019,495.2512,10114.2531
7,0.8910,0.1780,0.1766,0.2335,9619.0019,495.2512,10114.2531
8,0.8958,0.1790,0.4830,0.2221,9619.0019,9619.0019,19238.0038
9,0.8885,0.1775,0.1735,0.2336,9619.0019,495.2512,10114.2531
10,0.8865,0.1773,0.1755,0.2333,9619.0019,495.2512,10114.2531
11,0.8951,0.1789,0.1768,0.2109,9619.0019,495.2512,10114.2531
12,0.8988,0.1798,0.5177,0.2130,9619.0019,9619.0019,19238.0038
13,0.8942,0.1788,0.1751,0.2171,9619.0019,495.2512,10114.2531
14,0.8988,0.1798,0.1761,0.2170,9619.0019,495.2512,10114.2531
15,0.8963,0.1793,0.1767,0.2191,9619.0019,495.2512,10114.2531
16,0.9025,0.1806,0.5348,0.2105,9619.0019,9619.0019,19238.0038
17,0.8994,0.1800,0.1765,0.2120,9619.0019,495.2512,10114.2531
18,0.8989,0.1798,0.1770,0.2117,9619.0019,495.2512,10114.2531
19,0.8972,0.1794,0.1775,0.2111,9619.0019,495.2512,10114.2531
20,0.9039,0.1806,0.5448,0.2000,9619.0019,9619.0019,19238.0038
21,0.8989,0.1797,0.1753,0.2072,9619.0019,495.2512,10114.2531
22,0.9000,0.1801,0.1767,0.2078,9619.0019,495.2512,10114.2531
23,0.8968,0.1791,0.1777,0.2131,9619.0019,495.2512,10114.2531
24,0.9033,0.1807,0.5531,0.1966,9619.0019,9619.0019,19238.0038
25,0.8999,0.1802,0.1772,0.2000,9619.0019,495.2512,10114.2531
