round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
62,0.3307,0.6390,2.3251,0.9747,0.3037,0.3127,196.36,196.36,392.73
63,0.3357,0.6392,2.3351,0.9826,0.3063,0.2892,196.36,196.36,392.73
64,0.3378,0.6413,2.3373,0.9833,0.3094,0.2857,196.36,196.36,392.73
65,0.3397,0.6430,2.3326,0.9837,0.3128,0.2815,196.36,196.36,392.73
66,0.3376,0.6431,2.3502,0.9838,0.3150,0.2784,196.36,196.36,392.73
67,0.3380,0.6451,2.3449,0.9840,0.3194,0.2763,196.36,196.36,392.73
68,0.3389,0.6453,2.3502,0.9552,0.3195,0.4507,196.36,196.36,392.73
69,0.3385,0.6473,2.3485,0.9846,0.3262,0.2730,196.36,196.36,392.73
70,0.3417,0.6495,2.3429,0.9854,0.3298,0.2682,196.36,196.36,392.73
71,0.3344,0.6450,2.3601,0.9845,0.3318,0.2665,196.36,196.36,392.73
72,0.3425,0.6508,2.3686,0.9850,0.3364,0.2629,196.36,196.36,392.73
73,0.3398,0.6529,2.3586,0.9855,0.3407,0.2616,196.36,196.36,392.73
74,0.3443,0.6559,2.3670,0.9861,0.3433,0.2578,196.36,196.36,392.73
75,0.3437,0.6568,2.3681,0.9861,0.3462,0.2560,196.36,196.36,392.73
76,0.3440,0.6573,2.3844,0.9862,0.3486,0.2540,196.36,196.36,392.73
77,0.3429,0.6582,2.3796,0.9865,0.3552,0.2530,196.36,196.36,392.73
78,0.3435,0.6598,2.3791,0.9857,0.3573,0.2540,196.36,196.36,392.73
79,0.3440,0.6600,2.3824,0.9865,0.3589,0.2498,196.36,196.36,392.73
80,0.3477,0.6623,2.3695,0.9559,0.3572,0.4058,196.36,196.36,392.73
81,0.3438,0.6633,2.3919,0.9872,0.3668,0.2436,196.36,196.36,392.73
82,0.3494,0.6657,2.3721,0.9869,0.3718,0.2418,196.36,196.36,392.73
83,0.3481,0.6657,2.3823,0.9826,0.3733,0.2533,196.36,196.36,392.73
84,0.3457,0.6670,2.3980,0.9876,0.3762,0.2384,196.36,196.36,392.73
85,0.3435,0.6599,2.4089,0.9882,0.3811,0.2362,196.36,196.36,392.73
86,0.3480,0.6695,2.3858,0.9872,0.3832,0.2354,196.36,196.36,392.73
87,0.3487,0.6715,2.3846,0.9872,0.3869,0.2362,196.36,196.36,392.73
88,0.3505,0.6709,2.3787,0.9691,0.3881,0.2865,196.36,196.36,392.73
89,0.3517,0.6731,2.3906,0.9888,0.3948,0.2289,196.36,196.36,392.73
90,0.3525,0.6758,2.3907,0.9891,0.3954,0.2279,196.36,196.36,392.73
91,0.3511,0.6735,2.3936,0.9888,0.4026,0.2285,196.36,196.36,392.73
92,0.3518,0.6751,2.3837,0.9892,0.4060,0.2234,196.36,196.36,392.73
93,0.3528,0.6778,2.3581,0.9546,0.4037,0.5207,196.36,196.36,392.73
94,0.3546,0.6809,2.3825,0.9893,0.4128,0.2212,196.36,196.36,392.73
95,0.3530,0.6819,2.3906,0.9892,0.4179,0.2194,196.36,196.36,392.73
96,0.3554,0.6807,2.3817,0.9890,0.4203,0.2185,196.36,196.36,392.73
97,0.3516,0.6812,2.3843,0.9888,0.4230,0.2169,196.36,196.36,392.73
98,0.3505,0.6836,2.3989,0.9895,0.4266,0.2148,196.36,196.36,392.73
99,0.3548,0.6857,2.3858,0.9896,0.4303,0.2130,196.36,196.36,392.73
100,0.3572,0.6877,2.3925,0.9898,0.4344,0.2113,196.36,196.36,392.73
101,0.3580,0.6868,2.4052,0.9900,0.4381,0.2095,196.36,196.36,392.73
