round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1095,2.2799,1238.1279,26854.1088,28092.2367
1,0.1302,2.2416,1238.1279,1238.1279,2476.2558
2,0.1714,2.2029,1238.1279,1238.1279,2476.2558
3,0.2359,2.1640,1238.1279,1238.1279,2476.2558
4,0.3321,2.1212,1238.1279,26854.1088,28092.2367
5,0.3743,2.0815,1238.1279,1238.1279,2476.2558
6,0.4016,2.0506,1238.1279,1238.1279,2476.2558
7,0.4246,2.0127,1238.1279,1238.1279,2476.2558
8,0.4446,1.9760,1238.1279,26854.1088,28092.2367
9,0.4634,1.9417,1238.1279,1238.1279,2476.2558
10,0.4775,1.9075,1238.1279,1238.1279,2476.2558
11,0.4893,1.8753,1238.1279,1238.1279,2476.2558
12,0.4986,1.8400,1238.1279,26854.1088,28092.2367
13,0.5049,1.8091,1238.1279,1238.1279,2476.2558
14,0.5076,1.7846,1238.1279,1238.1279,2476.2558
15,0.5108,1.7561,1238.1279,1238.1279,2476.2558
16,0.5169,1.7282,1238.1279,26854.1088,28092.2367
17,0.5198,1.7031,1238.1279,1238.1279,2476.2558
18,0.5235,1.6789,1238.1279,1238.1279,2476.2558
19,0.5255,1.6560,1238.1279,1238.1279,2476.2558
20,0.5307,1.6285,1238.1279,26854.1088,28092.2367
21,0.5338,1.6057,1238.1279,1238.1279,2476.2558
22,0.5354,1.5894,1238.1279,1238.1279,2476.2558
23,0.5381,1.5711,1238.1279,1238.1279,2476.2558
24,0.5386,1.5477,1238.1279,26854.1088,28092.2367
25,0.5422,1.5281,1238.1279,1238.1279,2476.2558
26,0.5455,1.5128,1238.1279,1238.1279,2476.2558
27,0.5491,1.4957,1238.1279,1238.1279,2476.2558
28,0.5524,1.4773,1238.1279,26854.1088,28092.2367
29,0.5559,1.4625,1238.1279,1238.1279,2476.2558
30,0.5594,1.4478,1238.1279,1238.1279,2476.2558
31,0.5618,1.4343,1238.1279,1238.1279,2476.2558
32,0.5663,1.4193,1238.1279,26854.1088,28092.2367
33,0.5683,1.4043,1238.1279,1238.1279,2476.2558
34,0.5706,1.3924,1238.1279,1238.1279,2476.2558
35,0.5729,1.3812,1238.1279,1238.1279,2476.2558
36,0.5752,1.3685,1238.1279,26854.1088,28092.2367
37,0.5781,1.3545,1238.1279,1238.1279,2476.2558
38,0.5808,1.3465,1238.1279,1238.1279,2476.2558
39,0.5836,1.3368,1238.1279,1238.1279,2476.2558
40,0.5853,1.3267,1238.1279,26854.1088,28092.2367
41,0.5873,1.3166,1238.1279,1238.1279,2476.2558
42,0.5895,1.3047,1238.1279,1238.1279,2476.2558
43,0.5910,1.2994,1238.1279,1238.1279,2476.2558
44,0.5931,1.2881,1238.1279,26854.1088,28092.2367
45,0.5954,1.2795,1238.1279,1238.1279,2476.2558
46,0.5972,1.2694,1238.1279,1238.1279,2476.2558
47,0.5984,1.2620,1238.1279,1238.1279,2476.2558
48,0.6006,1.2555,1238.1279,26854.1088,28092.2367
49,0.6026,1.2478,1238.1279,1238.1279,2476.2558
50,0.6042,1.2397,1238.1279,1238.1279,2476.2558
51,0.6064,1.2320,1238.1279,1238.1279,2476.2558
52,0.6082,1.2248,1238.1279,26854.1088,28092.2367
53,0.6104,1.2174,1238.1279,1238.1279,2476.2558
54,0.6117,1.2113,1238.1279,1238.1279,2476.2558
55,0.6137,1.2046,1238.1279,1238.1279,2476.2558
56,0.6147,1.1960,1238.1279,26854.1088,28092.2367
57,0.6162,1.1906,1238.1279,1238.1279,2476.2558
58,0.6174,1.1848,1238.1279,1238.1279,2476.2558
59,0.6187,1.1791,1238.1279,1238.1279,2476.2558
60,0.6212,1.1727,1238.1279,26854.1088,28092.2367
61,0.6223,1.1676,1238.1279,1238.1279,2476.2558
62,0.6228,1.1604,1238.1279,1238.1279,2476.2558
63,0.6241,1.1551,1238.1279,1238.1279,2476.2558
64,0.6248,1.1504,1238.1279,26854.1088,28092.2367
65,0.6258,1.1462,1238.1279,1238.1279,2476.2558
66,0.6269,1.1424,1238.1279,1238.1279,2476.2558
