round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
63,0.4828,0.7572,0.2804,0.2712,0.2804,0.1515,1.1232,5.2156,5.2156,10.4312
64,0.4844,0.7558,0.2826,0.2731,0.2826,0.1513,1.1191,5.2156,10.4312,15.6468
65,0.4855,0.7576,0.2826,0.2732,0.2826,0.1516,1.1178,5.2156,5.2156,10.4312
66,0.4845,0.7576,0.2807,0.2720,0.2807,0.1515,1.1195,5.2156,10.4312,15.6468
67,0.4849,0.7591,0.2807,0.2721,0.2807,0.1519,1.1192,5.2156,5.2156,10.4312
68,0.4845,0.7596,0.2831,0.2737,0.2831,0.1520,1.1177,5.2156,10.4312,15.6468
69,0.4848,0.7605,0.2831,0.2738,0.2831,0.1522,1.1171,5.2156,5.2156,10.4312
70,0.4862,0.7610,0.2843,0.2735,0.2843,0.1523,1.1156,5.2156,10.4312,15.6468
71,0.4872,0.7622,0.2843,0.2736,0.2843,0.1525,1.1137,5.2156,5.2156,10.4312
72,0.4878,0.7629,0.2850,0.2758,0.2850,0.1526,1.1134,5.2156,10.4312,15.6468
73,0.4877,0.7623,0.2850,0.2759,0.2850,0.1525,1.1124,5.2156,5.2156,10.4312
74,0.4896,0.7640,0.2868,0.2767,0.2868,0.1528,1.1097,5.2156,10.4312,15.6468
75,0.4897,0.7639,0.2868,0.2768,0.2868,0.1529,1.1092,5.2156,5.2156,10.4312
76,0.4869,0.7641,0.2868,0.2773,0.2868,0.1528,1.1092,5.2156,10.4312,15.6468
77,0.4866,0.7657,0.2868,0.2772,0.2868,0.1531,1.1100,5.2156,5.2156,10.4312
78,0.4901,0.7660,0.2873,0.2786,0.2873,0.1532,1.1084,5.2156,10.4312,15.6468
79,0.4895,0.7662,0.2873,0.2787,0.2873,0.1533,1.1073,5.2156,5.2156,10.4312
80,0.4904,0.7666,0.2896,0.2792,0.2896,0.1534,1.1047,5.2156,10.4312,15.6468
81,0.4900,0.7665,0.2896,0.2791,0.2896,0.1534,1.1036,5.2156,5.2156,10.4312
82,0.4888,0.7676,0.2910,0.2799,0.2911,0.1534,1.1028,5.2156,10.4312,15.6468
83,0.4902,0.7684,0.2910,0.2797,0.2911,0.1535,1.1025,5.2156,5.2156,10.4312
84,0.4900,0.7679,0.2929,0.2814,0.2929,0.1536,1.1013,5.2156,10.4312,15.6468
85,0.4914,0.7686,0.2929,0.2815,0.2929,0.1537,1.1013,5.2156,5.2156,10.4312
86,0.4906,0.7690,0.2960,0.2830,0.2960,0.1537,1.0997,5.2156,10.4312,15.6468
87,0.4923,0.7692,0.2960,0.2831,0.2960,0.1539,1.0979,5.2156,5.2156,10.4312
88,0.4929,0.7702,0.2960,0.2832,0.2960,0.1541,1.0979,5.2156,10.4312,15.6468
