round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6337,0.6365,0.1672,0.1317,0.1672,0.1291,0.8948,0.8000,0.9617,0.9906,0.2399,0.8885,0.8000,0.9640,0.9810,0.2074,0.8969,27.3311,78.6281,105.9592
1,0.6719,0.6732,0.1672,0.1362,0.1672,0.1352,0.9025,0.8000,0.9730,0.9958,0.2253,0.8982,0.8000,0.9740,0.9932,0.1857,0.7490,27.3311,26.9305,54.2616
2,0.6947,0.6959,0.1965,0.1400,0.1965,0.1394,0.8952,0.8000,0.9738,0.9962,0.2617,0.8892,0.8000,0.9753,0.9946,0.1893,0.7027,27.3311,78.6281,105.9592
3,0.7110,0.7128,0.1965,0.1430,0.1965,0.1428,0.8972,0.8000,0.9740,0.9954,0.2582,0.8914,0.8000,0.9764,0.9951,0.1856,0.6742,27.3311,26.9305,54.2616
4,0.7207,0.7226,0.2162,0.1449,0.2162,0.1447,0.8946,0.8000,0.9739,0.9950,0.2668,0.8879,0.8000,0.9768,0.9959,0.1815,0.6558,27.3311,78.6281,105.9592
5,0.7293,0.7318,0.2162,0.1467,0.2162,0.1467,0.8951,0.8000,0.9733,0.9950,0.2675,0.8884,0.8000,0.9768,0.9961,0.1812,0.6423,27.3311,26.9305,54.2616
6,0.7355,0.7372,0.2373,0.1477,0.2373,0.1476,0.8935,0.8000,0.9730,0.9970,0.2946,0.8863,0.8000,0.9764,0.9976,0.1878,0.6316,27.3311,78.6281,105.9592
7,0.7441,0.7450,0.2373,0.1493,0.2373,0.1491,0.8928,0.8000,0.9733,0.9967,0.2922,0.8857,0.8000,0.9757,0.9970,0.1869,0.6231,27.3311,26.9305,54.2616
8,0.7483,0.7488,0.2597,0.1499,0.2598,0.1498,0.8924,0.8000,0.9733,0.9969,0.3139,0.8850,0.8000,0.9748,0.9974,0.1881,0.6145,27.3311,78.6281,105.9592
9,0.7517,0.7535,0.2597,0.1502,0.2598,0.1504,0.8908,0.8000,0.9730,0.9958,0.3137,0.8834,0.8000,0.9736,0.9971,0.1877,0.6081,27.3311,26.9305,54.2616
10,0.7561,0.7571,0.2649,0.1515,0.2649,0.1514,0.8886,0.8000,0.9725,0.9970,0.3197,0.8808,0.8000,0.9727,0.9977,0.1898,0.6031,27.3311,78.6281,105.9592
11,0.7612,0.7623,0.2649,0.1525,0.2649,0.1525,0.8866,0.8000,0.9718,0.9963,0.3196,0.8787,0.8000,0.9721,0.9971,0.1898,0.5991,27.3311,26.9305,54.2616
12,0.7643,0.7655,0.2737,0.1531,0.2737,0.1531,0.8844,0.8000,0.9710,0.9972,0.3282,0.8762,0.8000,0.9713,0.9975,0.1908,0.5959,27.3311,78.6281,105.9592
13,0.7659,0.7667,0.2737,0.1534,0.2737,0.1533,0.8822,0.8000,0.9698,0.9976,0.3285,0.8739,0.8000,0.9705,0.9980,0.1906,0.5931,27.3311,26.9305,54.2616
14,0.7705,0.7714,0.2810,0.1544,0.2810,0.1543,0.8799,0.8000,0.9686,0.9969,0.3344,0.8714,0.8000,0.9696,0.9980,0.1916,0.5893,27.3311,78.6281,105.9592
15,0.7715,0.7727,0.2810,0.1545,0.2810,0.1545,0.8777,0.8000,0.9673,0.9970,0.3338,0.8691,0.8000,0.9684,0.9980,0.1911,0.5872,27.3311,26.9305,54.2616
16,0.7754,0.7763,0.2854,0.1552,0.2854,0.1552,0.8753,0.8000,0.9663,0.9975,0.3398,0.8665,0.8000,0.9672,0.9981,0.1918,0.5844,27.3311,78.6281,105.9592
17,0.7776,0.7782,0.2854,0.1557,0.2854,0.1557,0.8730,0.8000,0.9652,0.9984,0.3389,0.8642,0.8000,0.9666,0.9985,0.1919,0.5828,27.3311,26.9305,54.2616
18,0.7788,0.7790,0.2903,0.1557,0.2903,0.1557,0.8709,0.8000,0.9645,0.9980,0.3411,0.8620,0.8000,0.9659,0.9984,0.1925,0.5805,27.3311,78.6281,105.9592
19,0.7820,0.7832,0.2903,0.1563,0.2903,0.1565,0.8688,0.8000,0.9634,0.9978,0.3395,0.8599,0.8000,0.9652,0.9984,0.1917,0.5784,27.3311,26.9305,54.2616
20,0.7842,0.7851,0.2956,0.1569,0.2956,0.1570,0.8668,0.8000,0.9623,0.9973,0.3443,0.8578,0.8000,0.9643,0.9982,0.1924,0.5760,27.3311,78.6281,105.9592
