round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6582,0.1369,0.1482,0.1358,1.1531,15.2351,30.4703,45.7054
1,0.6652,0.1381,0.1482,0.1362,1.1460,15.2351,15.2351,30.4703
2,0.6640,0.1372,0.1482,0.1376,1.1400,15.2351,15.2351,30.4703
3,0.6735,0.1387,0.1482,0.1383,1.1320,15.2351,15.2351,30.4703
4,0.6768,0.1389,0.1482,0.1386,1.1274,15.2351,15.2351,30.4703
5,0.6840,0.1400,0.1482,0.1392,1.1230,15.2351,15.2351,30.4703
6,0.3758,0.1251,0.1450,0.1202,1.6912,15.2351,30.4703,45.7054
7,0.3738,0.1226,0.1450,0.1203,1.6810,15.2351,15.2351,30.4703
8,0.4808,0.1277,0.1450,0.1294,1.4735,15.2351,15.2351,30.4703
9,0.5179,0.1344,0.1450,0.1380,1.3922,15.2351,15.2351,30.4703
10,0.6599,0.1364,0.1450,0.1358,1.1625,15.2351,15.2351,30.4703
11,0.6633,0.1364,0.1450,0.1368,1.1440,15.2351,15.2351,30.4703
12,0.6782,0.1387,0.1335,0.1382,1.1340,15.2351,30.4703,45.7054
