algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Local,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-17T10:28:18Z,2026-03-17T11:10:19Z
Local,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-17T11:10:19Z,2026-03-17T12:04:20Z
Local,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-17T12:04:20Z,2026-03-17T12:44:56Z
Local,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-17T12:44:56Z,2026-03-17T13:21:38Z
FedAS,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-17T13:21:38Z,2026-03-17T14:49:24Z
FedAS,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-17T14:49:24Z,2026-03-17T16:18:06Z
FedAS,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-17T16:18:06Z,2026-03-17T17:53:24Z
FedAS,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-17T17:53:24Z,2026-03-17T19:31:10Z
FedKD,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-17T19:31:10Z,2026-03-17T20:31:59Z
FedKD,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-17T20:31:59Z,2026-03-17T21:32:25Z
FedKD,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-17T21:32:25Z,2026-03-17T22:31:22Z
FedKD,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-17T22:31:22Z,2026-03-17T23:31:35Z
FedAvg,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-17T23:31:35Z,2026-03-18T00:06:38Z
FedAvg,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-18T00:06:38Z,2026-03-18T00:42:30Z
FedAvg,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-18T00:42:30Z,2026-03-18T01:17:34Z
FedAvg,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-18T01:17:34Z,2026-03-18T01:53:01Z
FedProx,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-18T01:53:01Z,2026-03-18T02:33:18Z
FedProx,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-18T02:33:18Z,2026-03-18T03:18:16Z
FedProx,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-18T03:18:16Z,2026-03-18T03:55:35Z
FedProx,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-18T03:55:35Z,2026-03-18T04:37:02Z
Ditto,pat_nc20,Cifar10_pat_nc20,failed,1,2026-03-18T04:37:02Z,2026-03-18T04:37:24Z
Ditto,dir0.1_nc20,Cifar10_dir0.1_nc20,failed,1,2026-03-18T04:37:24Z,2026-03-18T04:37:46Z
Ditto,dir0.5_nc20,Cifar10_dir0.5_nc20,failed,1,2026-03-18T04:37:46Z,2026-03-18T04:38:08Z
Ditto,dir1.0_nc20,Cifar10_dir1.0_nc20,failed,1,2026-03-18T04:38:08Z,2026-03-18T04:38:29Z
FedBN,pat_nc20,Cifar10_pat_nc20,failed,1,2026-03-18T04:38:29Z,2026-03-18T04:38:50Z
FedBN,dir0.1_nc20,Cifar10_dir0.1_nc20,failed,1,2026-03-18T04:38:50Z,2026-03-18T04:39:13Z
FedBN,dir0.5_nc20,Cifar10_dir0.5_nc20,failed,1,2026-03-18T04:39:13Z,2026-03-18T04:39:35Z
FedBN,dir1.0_nc20,Cifar10_dir1.0_nc20,failed,1,2026-03-18T04:39:35Z,2026-03-18T04:39:56Z
FedNTD,pat_nc20,Cifar10_pat_nc20,failed,1,2026-03-18T04:39:56Z,2026-03-18T04:40:17Z
FedNTD,dir0.1_nc20,Cifar10_dir0.1_nc20,failed,1,2026-03-18T04:40:17Z,2026-03-18T04:40:40Z
FedNTD,dir0.5_nc20,Cifar10_dir0.5_nc20,failed,1,2026-03-18T04:40:40Z,2026-03-18T04:41:01Z
FedNTD,dir1.0_nc20,Cifar10_dir1.0_nc20,failed,1,2026-03-18T04:41:01Z,2026-03-18T04:41:23Z
