round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4480,0.5673,0.1543,0.1424,0.1543,0.1277,1.5868,20.8601,31.2906,52.1507
1,0.5823,0.6342,0.1543,0.1371,0.1543,0.1290,1.3192,20.8601,20.8601,41.7203
2,0.5848,0.6562,0.1504,0.1455,0.1504,0.1322,1.2328,20.8601,31.2906,52.1507
3,0.6070,0.6696,0.1504,0.1462,0.1504,0.1344,1.1876,20.8601,20.8601,41.7203
4,0.5905,0.6820,0.1380,0.1507,0.1380,0.1368,1.1660,20.8601,31.2906,52.1507
5,0.6067,0.6944,0.1380,0.1535,0.1380,0.1391,1.1474,20.8601,20.8601,41.7203
6,0.6158,0.7013,0.1380,0.1549,0.1380,0.1406,1.1331,20.8601,31.2906,52.1507
7,0.6242,0.7105,0.1380,0.1563,0.1380,0.1423,1.1221,20.8601,20.8601,41.7203
8,0.5749,0.7178,0.1198,0.1492,0.1198,0.1438,1.1260,20.8601,31.2906,52.1507
9,0.5842,0.7216,0.1198,0.1501,0.1198,0.1445,1.1182,20.8601,20.8601,41.7203
10,0.5720,0.7249,0.1873,0.1878,0.1873,0.1450,1.0686,20.8601,31.2906,52.1507
11,0.5785,0.7291,0.1873,0.1886,0.1873,0.1459,1.0621,20.8601,20.8601,41.7203
12,0.6160,0.7315,0.1953,0.1915,0.1953,0.1463,1.0491,20.8601,31.2906,52.1507
13,0.6196,0.7349,0.1953,0.1913,0.1953,0.1471,1.0444,20.8601,20.8601,41.7203
14,0.6297,0.7364,0.1930,0.1913,0.1930,0.1474,1.0413,20.8601,31.2906,52.1507
15,0.6332,0.7383,0.1930,0.1911,0.1930,0.1477,1.0371,20.8601,20.8601,41.7203
16,0.6383,0.7393,0.1930,0.1916,0.1930,0.1479,1.0338,20.8601,31.2906,52.1507
17,0.6409,0.7431,0.1930,0.1913,0.1930,0.1487,1.0304,20.8601,20.8601,41.7203
18,0.6132,0.7444,0.1847,0.1909,0.1847,0.1490,1.0382,20.8601,31.2906,52.1507
19,0.6181,0.7467,0.1847,0.1915,0.1847,0.1495,1.0358,20.8601,20.8601,41.7203
20,0.5771,0.7496,0.1822,0.1822,0.1822,0.1500,1.0421,20.8601,31.2906,52.1507
