round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8678,0.1737,0.1408,0.5712,9618.9859,9618.9859,19237.9718
1,0.8793,0.1761,0.1566,0.3506,9618.9859,495.2351,10114.2210
2,0.8866,0.1773,0.1657,0.2968,9618.9859,495.2351,10114.2210
3,0.8824,0.1766,0.1687,0.2818,9618.9859,495.2351,10114.2210
4,0.8937,0.1790,0.2910,0.4008,9618.9859,9618.9859,19237.9718
5,0.8949,0.1789,0.1639,0.2931,9618.9859,495.2351,10114.2210
6,0.8958,0.1793,0.1681,0.2568,9618.9859,495.2351,10114.2210
7,0.8963,0.1793,0.1699,0.2416,9618.9859,495.2351,10114.2210
8,0.8959,0.1792,0.3847,0.3581,9618.9859,9618.9859,19237.9718
9,0.8949,0.1793,0.1675,0.2575,9618.9859,495.2351,10114.2210
10,0.8962,0.1789,0.1697,0.2381,9618.9859,495.2351,10114.2210
11,0.8972,0.1791,0.1709,0.2215,9618.9859,495.2351,10114.2210
12,0.8961,0.1793,0.4344,0.3417,9618.9859,9618.9859,19237.9718
13,0.8991,0.1794,0.1694,0.2427,9618.9859,495.2351,10114.2210
14,0.8988,0.1797,0.1707,0.2192,9618.9859,495.2351,10114.2210
15,0.8994,0.1798,0.1716,0.2068,9618.9859,495.2351,10114.2210
16,0.8984,0.1800,0.4627,0.3138,9618.9859,9618.9859,19237.9718
17,0.9009,0.1798,0.1707,0.2216,9618.9859,495.2351,10114.2210
18,0.9019,0.1799,0.1716,0.2014,9618.9859,495.2351,10114.2210
19,0.9002,0.1797,0.1722,0.1952,9618.9859,495.2351,10114.2210
20,0.9021,0.1800,0.4820,0.3117,9618.9859,9618.9859,19237.9718
21,0.9007,0.1802,0.1716,0.2163,9618.9859,495.2351,10114.2210
22,0.8992,0.1795,0.1720,0.2026,9618.9859,495.2351,10114.2210
23,0.9011,0.1799,0.1725,0.1965,9618.9859,495.2351,10114.2210
24,0.9020,0.1802,0.4975,0.2935,9618.9859,9618.9859,19237.9718
25,0.8989,0.1800,0.1726,0.2033,9618.9859,495.2351,10114.2210
26,0.8977,0.1792,0.1725,0.1908,9618.9859,495.2351,10114.2210
27,0.8989,0.1797,0.1730,0.1803,9618.9859,495.2351,10114.2210
28,0.8967,0.1792,0.5074,0.2852,9618.9859,9618.9859,19237.9718
29,0.8991,0.1798,0.1752,0.1933,9618.9859,495.2351,10114.2210
30,0.8956,0.1791,0.1730,0.1845,9618.9859,495.2351,10114.2210
31,0.8999,0.1798,0.1733,0.1734,9618.9859,495.2351,10114.2210
