Client 50 / CIFAR10
Method,rho 0,rho 0.2,rho 0.4,rho 0.6,rho 0.8
FedDST,39.78 ± 0.00,38.27 ± 0.00,36.67 ± 0.00,35.31 ± 0.00,34.62 ± 0.00

Client 50 / FMNIST
Method,rho 0,rho 0.2,rho 0.4,rho 0.6,rho 0.8
FedDST,92.58 ± 0.00,84.80 ± 0.00,78.90 ± 0.00,74.58 ± 0.00,71.28 ± 0.00
