dataset,method,rho,completed_runs,used_runs,required_round,total_mb_mean,total_mb_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,avg_round_total_mb_mean,avg_round_total_mb_std,sources
cifar10,FedAvg,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.0\NC_50\date_20260602\time_232003\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_072629\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_073131\acc.csv
cifar10,FedAvg,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.2\NC_50\date_20260602\time_235802\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_082133\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_082617\acc.csv
cifar10,FedAvg,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.4\NC_50\date_20260603\time_003516\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_091507\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_092029\acc.csv
cifar10,FedAvg,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.6\NC_50\date_20260603\time_011317\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_101006\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_101509\acc.csv
cifar10,FedAvg,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.8\NC_50\date_20260603\time_015101\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_110455\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedAvg\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_111008\acc.csv
cifar10,FedBN,0.0,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.0\NC_50\date_20260603\time_022843\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_120002\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.0\NC_50\date_20260613\time_120552\acc.csv
cifar10,FedBN,0.2,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.2\NC_50\date_20260603\time_030212\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_124637\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.2\NC_50\date_20260613\time_125315\acc.csv
cifar10,FedBN,0.4,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.4\NC_50\date_20260603\time_033545\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_133347\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.4\NC_50\date_20260613\time_133942\acc.csv
cifar10,FedBN,0.6,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.6\NC_50\date_20260603\time_040914\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_142102\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.6\NC_50\date_20260613\time_142725\acc.csv
cifar10,FedBN,0.8,3,3,101,393.170000,0.000000,196.580000,0.000000,196.580000,0.000000,3.892772,0.000000,C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.8\NC_50\date_20260603\time_044248\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_150931\acc.csv;C:\Users\mulso\Documents\GitHub\FedCD\FedCD-Baseline\logs\cifar10\FedBN\GM_VGG8\splitgp_rho0.8\NC_50\date_20260613\time_151555\acc.csv
