round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8600,0.1734,0.3043,0.5572,495.2351,9618.9859,10114.2210
1,0.8802,0.1761,0.3043,0.4563,495.2351,495.2351,990.4703
2,0.8873,0.1772,0.3043,0.4157,495.2351,495.2351,990.4703
3,0.8823,0.1767,0.3043,0.4102,495.2351,495.2351,990.4703
4,0.8939,0.1788,0.3942,0.3823,495.2351,9618.9859,10114.2210
5,0.8955,0.1791,0.3942,0.3766,495.2351,495.2351,990.4703
6,0.8944,0.1791,0.3942,0.3683,495.2351,495.2351,990.4703
7,0.8966,0.1792,0.3942,0.3598,495.2351,495.2351,990.4703
8,0.8935,0.1788,0.4336,0.3539,495.2351,9618.9859,10114.2210
9,0.8937,0.1791,0.4336,0.3431,495.2351,495.2351,990.4703
10,0.8970,0.1794,0.4336,0.3379,495.2351,495.2351,990.4703
11,0.8943,0.1786,0.4336,0.3387,495.2351,495.2351,990.4703
12,0.8996,0.1798,0.4426,0.3387,495.2351,9618.9859,10114.2210
13,0.8992,0.1799,0.4426,0.3315,495.2351,495.2351,990.4703
