algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Local,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-19T04:16:24Z,2026-03-19T05:05:55Z
Local,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-19T05:05:55Z,2026-03-19T05:51:02Z
Local,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-19T05:51:02Z,2026-03-19T06:32:51Z
Local,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-19T06:32:51Z,2026-03-19T07:15:21Z
FedAS,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-19T07:15:21Z,2026-03-19T08:48:44Z
FedAS,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-19T08:48:44Z,2026-03-19T10:28:50Z
FedAS,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-19T10:28:50Z,2026-03-19T12:08:54Z
FedAS,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-19T12:08:54Z,2026-03-19T13:51:52Z
FedKD,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-19T13:51:52Z,2026-03-19T15:17:08Z
FedKD,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-19T15:17:08Z,2026-03-19T16:49:49Z
FedKD,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-19T16:49:49Z,2026-03-19T18:17:59Z
FedKD,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-19T18:17:59Z,2026-03-19T19:49:59Z
FedAvg,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-19T19:49:59Z,2026-03-19T20:31:11Z
FedAvg,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-19T20:31:11Z,2026-03-19T21:13:56Z
FedAvg,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-19T21:13:56Z,2026-03-19T21:55:55Z
FedAvg,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-19T21:55:55Z,2026-03-19T22:38:20Z
FedProx,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-19T22:38:20Z,2026-03-19T23:21:41Z
FedProx,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-19T23:21:41Z,2026-03-20T00:06:59Z
FedProx,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-20T00:06:59Z,2026-03-20T00:51:20Z
FedProx,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-20T00:51:20Z,2026-03-20T01:36:20Z
Ditto,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-20T01:36:20Z,2026-03-20T02:32:36Z
Ditto,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-20T02:32:36Z,2026-03-20T03:32:22Z
