exposure_bin,classes,probe_samples,lar_acc,lar_max_conf_mean,lar_true_prob_mean,lar_entropy_mean,lar_ood_rate,prototype_score_mean,prototype_acc
high_seen,"[7, 8]",2000,0.893,0.8615627884864807,0.8232673108577728,0.40127279609441757,0.0545,0.5460204184055328,0.759
low_seen,"[3, 4]",2000,0.453,0.6043685674667358,0.36238155514001846,0.9961801171302795,0.276,0.5305627882480621,0.668
rare_seen,[1],1000,0.0,0.8013767004013062,0.03776325285434723,0.7372552752494812,0.106,0.40439435839653015,0.688
zero_seen,"[0, 2, 5, 6, 9]",5000,0.0,0.6548874974250793,0.006157754804007709,0.9397288978099823,0.2778,0.4722607612609863,0.0
