round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6325,0.1398,0.1999,0.1343,1.1667,16.0248,30.4703,46.4951
1,0.6646,0.1411,0.1999,0.1373,1.1126,16.0248,15.2351,31.2599
2,0.6547,0.1650,0.2351,0.1401,1.0581,16.0248,30.4703,46.4951
3,0.6660,0.1649,0.2351,0.1421,1.0420,16.0248,15.2351,31.2599
4,0.6091,0.1914,0.2391,0.1433,1.0224,16.0248,30.4703,46.4951
5,0.6181,0.1906,0.2391,0.1448,1.0120,16.0248,15.2351,31.2599
6,0.5658,0.2087,0.2414,0.1448,1.0028,16.0248,30.4703,46.4951
7,0.5702,0.2097,0.2414,0.1458,0.9959,16.0248,15.2351,31.2599
8,0.5337,0.2215,0.2431,0.1464,0.9881,16.0248,30.4703,46.4951
9,0.5386,0.2220,0.2431,0.1476,0.9811,16.0248,15.2351,31.2599
10,0.5108,0.2284,0.2458,0.1479,0.9758,16.0248,30.4703,46.4951
11,0.5184,0.2287,0.2458,0.1491,0.9694,16.0248,15.2351,31.2599
12,0.4984,0.2343,0.2481,0.1496,0.9644,16.0248,30.4703,46.4951
13,0.5002,0.2332,0.2481,0.1503,0.9605,16.0248,15.2351,31.2599
14,0.4896,0.2361,0.2485,0.1503,0.9573,16.0248,30.4703,46.4951
15,0.4936,0.2370,0.2485,0.1515,0.9488,16.0248,15.2351,31.2599
16,0.4801,0.2383,0.2505,0.1517,0.9486,16.0248,30.4703,46.4951
17,0.4824,0.2387,0.2505,0.1519,0.9427,16.0248,15.2351,31.2599
18,0.4774,0.2404,0.2489,0.1527,0.9404,16.0248,30.4703,46.4951
19,0.4767,0.2399,0.2489,0.1537,0.9334,16.0248,15.2351,31.2599
20,0.4761,0.2413,0.2493,0.1535,0.9348,16.0248,30.4703,46.4951
