round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4464,0.5608,0.1683,0.1477,0.1683,0.1302,1.6061,18.2527,31.2906,49.5433
1,0.5800,0.6281,0.1683,0.1393,0.1683,0.1287,1.3346,18.2527,18.2527,36.5054
2,0.6311,0.6527,0.1940,0.1405,0.1940,0.1317,1.2223,18.2527,31.2906,49.5433
3,0.6488,0.6669,0.1940,0.1392,0.1940,0.1343,1.1750,18.2527,18.2527,36.5054
4,0.6675,0.6787,0.2083,0.1409,0.2083,0.1363,1.1357,18.2527,31.2906,49.5433
5,0.6749,0.6888,0.2083,0.1415,0.2083,0.1382,1.1165,18.2527,18.2527,36.5054
6,0.6878,0.6970,0.2198,0.1431,0.2198,0.1398,1.0963,18.2527,31.2906,49.5433
7,0.6962,0.7039,0.2198,0.1444,0.2198,0.1410,1.0854,18.2527,18.2527,36.5054
8,0.7039,0.7112,0.2287,0.1454,0.2287,0.1425,1.0720,18.2527,31.2906,49.5433
9,0.7079,0.7178,0.2287,0.1460,0.2287,0.1438,1.0643,18.2527,18.2527,36.5054
10,0.7150,0.7212,0.2359,0.1470,0.2359,0.1444,1.0564,18.2527,31.2906,49.5433
11,0.7178,0.7235,0.2359,0.1474,0.2359,0.1449,1.0500,18.2527,18.2527,36.5054
12,0.7218,0.7261,0.2402,0.1481,0.2402,0.1454,1.0435,18.2527,31.2906,49.5433
13,0.7232,0.7288,0.2402,0.1483,0.2402,0.1459,1.0391,18.2527,18.2527,36.5054
14,0.7249,0.7292,0.2472,0.1486,0.2472,0.1460,1.0346,18.2527,31.2906,49.5433
15,0.7274,0.7308,0.2472,0.1490,0.2472,0.1465,1.0309,18.2527,18.2527,36.5054
16,0.7297,0.7336,0.2507,0.1492,0.2507,0.1468,1.0266,18.2527,31.2906,49.5433
17,0.7312,0.7355,0.2507,0.1494,0.2507,0.1472,1.0238,18.2527,18.2527,36.5054
18,0.7332,0.7386,0.2563,0.1497,0.2563,0.1478,1.0199,18.2527,31.2906,49.5433
19,0.7353,0.7405,0.2563,0.1499,0.2563,0.1483,1.0176,18.2527,18.2527,36.5054
20,0.7392,0.7429,0.2609,0.1506,0.2609,0.1487,1.0142,18.2527,31.2906,49.5433
