2ound,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
46,0.8068,0.8078,0.2865,0.1612,0.2865,0.1614,0.8426,0.8000,0.9411,0.9970,0.3299,0.8344,0.8000,0.9477,0.9980,0.1900,0.5442,26.9305,78.6281,105.5586
47,0.8064,0.8068,0.2865,0.1612,0.2865,0.1614,0.8424,0.8000,0.9408,0.9972,0.3285,0.8341,0.8000,0.9476,0.9977,0.1896,0.5435,26.9305,26.9305,53.8611
48,0.8056,0.8068,0.2840,0.1612,0.2840,0.1614,0.8422,0.8000,0.9404,0.9978,0.3202,0.8340,0.8000,0.9474,0.9977,0.1868,0.5443,26.9305,78.6281,105.5586
49,0.8048,0.8046,0.2840,0.1611,0.2840,0.1611,0.8418,0.8000,0.9401,0.9972,0.3191,0.8337,0.8000,0.9470,0.9974,0.1863,0.5429,26.9305,26.9305,53.8611
50,0.8079,0.8083,0.2773,0.1616,0.2773,0.1617,0.8416,0.8000,0.9401,0.9978,0.3104,0.8334,0.8000,0.9469,0.9972,0.1879,0.5435,26.9305,78.6281,105.5586
51,0.8087,0.8096,0.2773,0.1617,0.2773,0.1618,0.8415,0.8000,0.9400,0.9973,0.3104,0.8333,0.8000,0.9468,0.9973,0.1878,0.5416,26.9305,26.9305,53.8611
52,0.8074,0.8086,0.2914,0.1612,0.2914,0.1615,0.8413,0.8000,0.9401,0.9970,0.3232,0.8331,0.8000,0.9466,0.9975,0.1898,0.5389,26.9305,78.6281,105.5586
53,0.8108,0.8112,0.2914,0.1619,0.2914,0.1620,0.8411,0.8000,0.9400,0.9974,0.3228,0.8330,0.8000,0.9466,0.9973,0.1898,0.5378,26.9305,26.9305,53.8611
54,0.8098,0.8093,0.3028,0.1617,0.3028,0.1618,0.8412,0.8000,0.9399,0.9971,0.3479,0.8330,0.8000,0.9463,0.9975,0.1915,0.5329,26.9305,78.6281,105.5586
55,0.8082,0.8088,0.3028,0.1616,0.3028,0.1618,0.8411,0.8000,0.9402,0.9968,0.3481,0.8329,0.8000,0.9462,0.9975,0.1917,0.5320,26.9305,26.9305,53.8611
56,0.8089,0.8086,0.3161,0.1615,0.3162,0.1615,0.8408,0.8000,0.9401,0.9977,0.3474,0.8326,0.8000,0.9463,0.9975,0.1911,0.5312,26.9305,78.6281,105.5586
57,0.8098,0.8106,0.3161,0.1617,0.3162,0.1618,0.8407,0.8000,0.9399,0.9970,0.3478,0.8326,0.8000,0.9463,0.9973,0.1913,0.5297,26.9305,26.9305,53.8611
58,0.8091,0.8096,0.3013,0.1619,0.3013,0.1619,0.8406,0.8000,0.9398,0.9977,0.3330,0.8325,0.8000,0.9461,0.9976,0.1921,0.5309,26.9305,78.6281,105.5586
59,0.8107,0.8119,0.3013,0.1621,0.3013,0.1623,0.8406,0.8000,0.9397,0.9968,0.3336,0.8325,0.8000,0.9464,0.9976,0.1921,0.5299,26.9305,26.9305,53.8611
