round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4615,0.5707,0.1606,0.1448,0.1606,0.1289,1.5909,26.0750,31.2906,57.3656
1,0.5899,0.6345,0.1606,0.1381,0.1606,0.1295,1.3260,26.0750,26.0750,52.1500
2,0.6364,0.6576,0.1876,0.1401,0.1876,0.1322,1.2166,26.0750,31.2906,57.3656
3,0.6543,0.6693,0.1876,0.1395,0.1876,0.1344,1.1704,26.0750,26.0750,52.1500
4,0.6701,0.6819,0.2044,0.1410,0.2044,0.1367,1.1315,26.0750,31.2906,57.3656
5,0.6818,0.6923,0.2044,0.1420,0.2044,0.1388,1.1124,26.0750,26.0750,52.1500
6,0.6923,0.7032,0.2155,0.1435,0.2155,0.1408,1.0921,26.0750,31.2906,57.3656
7,0.7018,0.7122,0.2155,0.1450,0.2155,0.1425,1.0810,26.0750,26.0750,52.1500
8,0.7118,0.7174,0.2268,0.1467,0.2268,0.1436,1.0675,26.0750,31.2906,57.3656
9,0.7157,0.7213,0.2268,0.1472,0.2268,0.1443,1.0596,26.0750,26.0750,52.1500
10,0.7198,0.7245,0.2325,0.1478,0.2325,0.1451,1.0515,26.0750,31.2906,57.3656
11,0.7226,0.7280,0.2325,0.1483,0.2325,0.1457,1.0450,26.0750,26.0750,52.1500
12,0.7270,0.7325,0.2414,0.1489,0.2414,0.1465,1.0382,26.0750,31.2906,57.3656
13,0.7297,0.7364,0.2414,0.1494,0.2414,0.1472,1.0337,26.0750,26.0750,52.1500
14,0.7341,0.7387,0.2465,0.1499,0.2465,0.1478,1.0291,26.0750,31.2906,57.3656
15,0.7358,0.7417,0.2465,0.1503,0.2465,0.1483,1.0252,26.0750,26.0750,52.1500
16,0.7379,0.7444,0.2499,0.1504,0.2499,0.1488,1.0207,26.0750,31.2906,57.3656
17,0.7412,0.7452,0.2499,0.1511,0.2499,0.1491,1.0178,26.0750,26.0750,52.1500
18,0.7424,0.7486,0.2561,0.1511,0.2561,0.1496,1.0137,26.0750,31.2906,57.3656
19,0.7442,0.7498,0.2561,0.1514,0.2561,0.1499,1.0113,26.0750,26.0750,52.1500
20,0.7457,0.7508,0.2604,0.1516,0.2604,0.1502,1.0078,26.0750,31.2906,57.3656
