round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.5840,0.6285,0.1842,0.1458,0.1842,0.1298,1.2935,5.2156,10.4312,15.6468
1,0.6424,0.6646,0.1842,0.1412,0.1842,0.1340,1.1594,5.2156,5.2156,10.4312
2,0.6771,0.6878,0.2324,0.1439,0.2324,0.1383,1.0949,5.2156,10.4312,15.6468
3,0.6948,0.7076,0.2324,0.1456,0.2324,0.1420,1.0711,5.2156,5.2156,10.4312
4,0.7126,0.7187,0.2371,0.1466,0.2371,0.1441,1.0543,5.2156,10.4312,15.6468
5,0.7224,0.7285,0.2371,0.1482,0.2371,0.1460,1.0435,5.2156,5.2156,10.4312
6,0.7287,0.7334,0.2520,0.1494,0.2519,0.1469,1.0312,5.2156,10.4312,15.6468
7,0.7323,0.7386,0.2520,0.1500,0.2519,0.1480,1.0244,5.2156,5.2156,10.4312
8,0.7314,0.7424,0.2635,0.1551,0.2635,0.1487,1.0047,5.2156,10.4312,15.6468
9,0.7362,0.7474,0.2635,0.1559,0.2635,0.1497,0.9997,5.2156,5.2156,10.4312
10,0.7449,0.7513,0.2269,0.1526,0.2269,0.1503,1.0129,5.2156,10.4312,15.6468
11,0.7479,0.7545,0.2269,0.1531,0.2269,0.1509,1.0085,5.2156,5.2156,10.4312
12,0.7519,0.7576,0.2322,0.1542,0.2322,0.1516,1.0006,5.2156,10.4312,15.6468
13,0.7551,0.7593,0.2322,0.1548,0.2322,0.1521,0.9969,5.2156,5.2156,10.4312
14,0.7586,0.7627,0.2773,0.1551,0.2772,0.1527,0.9856,5.2156,10.4312,15.6468
15,0.7614,0.7656,0.2773,0.1556,0.2772,0.1533,0.9820,5.2156,5.2156,10.4312
16,0.7616,0.7656,0.2359,0.1554,0.2359,0.1534,0.9884,5.2156,10.4312,15.6468
17,0.7628,0.7669,0.2359,0.1557,0.2359,0.1536,0.9854,5.2156,5.2156,10.4312
18,0.7649,0.7691,0.2749,0.1555,0.2749,0.1539,0.9748,5.2156,10.4312,15.6468
19,0.7659,0.7707,0.2749,0.1558,0.2749,0.1544,0.9715,5.2156,5.2156,10.4312
20,0.7693,0.7741,0.2858,0.1565,0.2858,0.1549,0.9675,5.2156,10.4312,15.6468
21,0.7701,0.7737,0.2858,0.1566,0.2858,0.1548,0.9650,5.2156,5.2156,10.4312
22,0.7723,0.7760,0.2907,0.1565,0.2907,0.1552,0.9664,5.2156,10.4312,15.6468
23,0.7745,0.7782,0.2907,0.1569,0.2907,0.1556,0.9640,5.2156,5.2156,10.4312
24,0.7763,0.7788,0.2575,0.1569,0.2575,0.1558,0.9677,5.2156,10.4312,15.6468
25,0.7767,0.7805,0.2575,0.1569,0.2575,0.1561,0.9644,5.2156,5.2156,10.4312
26,0.7749,0.7808,0.2801,0.1611,0.2801,0.1562,0.9392,5.2156,10.4312,15.6468
27,0.7749,0.7823,0.2801,0.1613,0.2801,0.1564,0.9377,5.2156,5.2156,10.4312
28,0.7803,0.7836,0.2910,0.1579,0.2910,0.1567,0.9526,5.2156,10.4312,15.6468
29,0.7823,0.7860,0.2910,0.1582,0.2910,0.1572,0.9495,5.2156,5.2156,10.4312
30,0.7831,0.7869,0.2968,0.1583,0.2967,0.1574,0.9492,5.2156,10.4312,15.6468
31,0.7847,0.7879,0.2968,0.1586,0.2967,0.1576,0.9471,5.2156,5.2156,10.4312
32,0.7871,0.7895,0.2729,0.1591,0.2729,0.1579,0.9483,5.2156,10.4312,15.6468
33,0.7877,0.7900,0.2729,0.1593,0.2729,0.1580,0.9467,5.2156,5.2156,10.4312
34,0.7887,0.7911,0.3016,0.1594,0.3016,0.1582,0.9413,5.2156,10.4312,15.6468
35,0.7895,0.7924,0.3016,0.1595,0.3016,0.1585,0.9394,5.2156,5.2156,10.4312
36,0.7889,0.7915,0.2990,0.1600,0.2990,0.1583,0.9350,5.2156,10.4312,15.6468
37,0.7893,0.7930,0.2990,0.1601,0.2990,0.1586,0.9335,5.2156,5.2156,10.4312
38,0.7899,0.7937,0.2768,0.1602,0.2768,0.1588,0.9358,5.2156,10.4312,15.6468
39,0.7912,0.7947,0.2768,0.1604,0.2768,0.1589,0.9346,5.2156,5.2156,10.4312
40,0.7925,0.7958,0.3088,0.1601,0.3088,0.1592,0.9304,5.2156,10.4312,15.6468
41,0.7932,0.7963,0.3088,0.1603,0.3088,0.1593,0.9289,5.2156,5.2156,10.4312
42,0.7952,0.7973,0.3095,0.1605,0.3095,0.1595,0.9273,5.2156,10.4312,15.6468
43,0.7942,0.7965,0.3095,0.1603,0.3095,0.1593,0.9262,5.2156,5.2156,10.4312
44,0.7951,0.7987,0.3116,0.1604,0.3116,0.1597,0.9242,5.2156,10.4312,15.6468
45,0.7962,0.7990,0.3116,0.1607,0.3116,0.1598,0.9225,5.2156,5.2156,10.4312
46,0.7966,0.7997,0.3154,0.1607,0.3154,0.1599,0.9213,5.2156,10.4312,15.6468
47,0.7975,0.8001,0.3154,0.1609,0.3154,0.1600,0.9203,5.2156,5.2156,10.4312
48,0.7980,0.8013,0.3000,0.1607,0.3000,0.1603,0.9200,5.2156,10.4312,15.6468
49,0.7989,0.8024,0.3000,0.1608,0.3000,0.1605,0.9185,5.2156,5.2156,10.4312
50,0.7993,0.8019,0.3178,0.1613,0.3178,0.1604,0.9157,5.2156,10.4312,15.6468
