round,global_local_test_acc,global_global_test_acc,global_train_loss,global_id_test_acc,global_ood_test_acc,global_id_test_count,global_ood_test_count,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,personalized_id_test_acc,personalized_ood_test_acc,personalized_id_test_count,personalized_ood_test_count,uplink_mb,downlink_mb,total_mb
61,0.1110,,2.2199,,,,,0.1599,,0.7646,,,,,196.58,196.58,393.17
62,0.1121,,2.2185,,,,,0.1594,,0.7670,,,,,196.58,196.58,393.17
63,0.1121,,2.2194,,,,,0.1611,,0.7599,,,,,196.58,196.58,393.17
64,0.1133,,2.2196,,,,,0.1612,,0.7636,,,,,196.58,196.58,393.17
65,0.1123,,2.2210,,,,,0.1610,,0.7559,,,,,196.58,196.58,393.17
66,0.1129,,2.2218,,,,,0.1601,,0.7672,,,,,196.58,196.58,393.17
67,0.1133,,2.2193,,,,,0.1594,,0.7694,,,,,196.58,196.58,393.17
68,0.1132,,2.2205,,,,,0.1609,,0.7564,,,,,196.58,196.58,393.17
69,0.1141,,2.2198,,,,,0.1603,,0.7524,,,,,196.58,196.58,393.17
70,0.1141,,2.2219,,,,,0.1621,,0.7484,,,,,196.58,196.58,393.17
71,0.1135,,2.2218,,,,,0.1600,,0.7781,,,,,196.58,196.58,393.17
72,0.1131,,2.2218,,,,,0.1612,,0.7529,,,,,196.58,196.58,393.17
73,0.1132,,2.2229,,,,,0.1600,,0.7542,,,,,196.58,196.58,393.17
74,0.1133,,2.2227,,,,,0.1601,,0.7588,,,,,196.58,196.58,393.17
75,0.1131,,2.2217,,,,,0.1619,,0.7537,,,,,196.58,196.58,393.17
76,0.1140,,2.2215,,,,,0.1609,,0.7590,,,,,196.58,196.58,393.17
77,0.1132,,2.2214,,,,,0.1596,,0.7598,,,,,196.58,196.58,393.17
78,0.1137,,2.2206,,,,,0.1571,,0.7781,,,,,196.58,196.58,393.17
79,0.1139,,2.2218,,,,,0.1584,,0.7726,,,,,196.58,196.58,393.17
80,0.1136,,2.2216,,,,,0.1598,,0.7522,,,,,196.58,196.58,393.17
81,0.1139,,2.2207,,,,,0.1611,,0.7503,,,,,196.58,196.58,393.17
82,0.1143,,2.2214,,,,,0.1600,,0.7726,,,,,196.58,196.58,393.17
83,0.1145,,2.2217,,,,,0.1601,,0.7590,,,,,196.58,196.58,393.17
84,0.1140,,2.2235,,,,,0.1621,,0.7552,,,,,196.58,196.58,393.17
85,0.1139,,2.2222,,,,,0.1616,,0.7515,,,,,196.58,196.58,393.17
86,0.1139,,2.2224,,,,,0.1588,,0.7677,,,,,196.58,196.58,393.17
87,0.1140,,2.2227,,,,,0.1606,,0.7584,,,,,196.58,196.58,393.17
88,0.1136,,2.2228,,,,,0.1604,,0.7543,,,,,196.58,196.58,393.17
89,0.1143,,2.2219,,,,,0.1599,,0.7588,,,,,196.58,196.58,393.17
90,0.1143,,2.2225,,,,,0.1613,,0.7477,,,,,196.58,196.58,393.17
91,0.1141,,2.2219,,,,,0.1587,,0.7870,,,,,196.58,196.58,393.17
92,0.1143,,2.2224,,,,,0.1589,,0.7769,,,,,196.58,196.58,393.17
93,0.1135,,2.2237,,,,,0.1591,,0.7718,,,,,196.58,196.58,393.17
94,0.1135,,2.2237,,,,,0.1603,,0.7591,,,,,196.58,196.58,393.17
95,0.1139,,2.2219,,,,,0.1588,,0.7762,,,,,196.58,196.58,393.17
96,0.1143,,2.2237,,,,,0.1591,,0.7627,,,,,196.58,196.58,393.17
97,0.1141,,2.2228,,,,,0.1594,,0.7580,,,,,196.58,196.58,393.17
98,0.1138,,2.2233,,,,,0.1600,,0.7627,,,,,196.58,196.58,393.17
99,0.1137,,2.2230,,,,,0.1593,,0.7685,,,,,196.58,196.58,393.17
100,0.1150,,2.2229,,,,,0.1608,,0.7541,,,,,196.58,196.58,393.17
101,0.1140,,2.2221,,,,,0.1622,,0.7473,,,,,196.58,196.58,393.17
