round,cluster_id,accuracy,samples
12,6,0.6460,291
12,7,0.5560,491
12,8,0.7365,1499
12,9,0.7984,382
12,10,0.8449,303
12,11,0.8260,454
12,12,0.7251,1066
12,13,0.7389,360
12,14,0.8521,656
12,15,0.5369,406
12,16,0.7998,809
12,17,0.8723,744
12,18,0.7750,520
12,19,0.9945,1282
13,0,0.8466,665
13,1,0.9618,1363
13,2,0.7893,1063
13,3,0.5749,1082
13,4,1.0000,794
13,5,0.9561,775
13,6,0.6838,291
13,7,0.5723,491
13,8,0.7512,1499
13,9,0.7984,382
13,10,0.8449,303
13,11,0.8260,454
13,12,0.7326,1066
13,13,0.7472,360
13,14,0.8506,656
13,15,0.5591,406
13,16,0.7998,809
13,17,0.8723,744
13,18,0.7750,520
13,19,0.9945,1282
14,0,0.8466,665
14,1,0.9618,1363
14,2,0.7968,1063
14,3,0.9561,775
14,4,1.0000,794
14,5,0.8022,809
14,6,0.7010,291
14,7,0.7565,1499
14,8,0.7984,382
14,9,0.8723,744
14,10,0.5795,1082
14,11,0.9945,1282
14,12,0.7383,1066
14,13,0.7472,360
14,14,0.8445,656
14,15,0.5591,406
14,16,0.7750,520
14,17,0.8449,303
14,18,0.5662,491
14,19,0.8260,454
15,0,0.8466,665
15,1,0.9618,1363
15,2,0.7968,1063
15,3,0.9561,775
15,4,1.0000,794
15,5,0.8047,809
15,6,0.7113,291
15,7,0.7625,1499
15,8,0.7984,382
15,9,0.8723,744
15,10,0.5850,1082
15,11,0.9945,1282
15,12,0.7448,1066
15,13,0.7472,360
15,14,0.8369,656
15,15,0.5616,406
15,16,0.7750,520
15,17,0.8449,303
15,18,0.5723,491
15,19,0.8260,454
16,0,0.8436,665
16,1,0.8090,1063
16,2,0.9618,1363
16,3,0.9561,775
16,4,0.5906,491
16,5,1.0000,794
16,6,0.5943,1082
16,7,0.8084,809
16,8,0.7984,382
16,9,0.7182,291
16,10,0.8282,454
16,11,0.7632,1499
16,12,0.8567,656
16,13,0.7402,1066
16,14,0.7250,360
16,15,0.7673,520
16,16,0.5616,406
16,17,0.8449,303
16,18,0.8723,744
16,19,0.9945,1282
17,0,0.8436,665
17,1,0.8156,1063
17,2,0.9618,1363
17,3,0.9561,775
17,4,0.5927,491
17,5,1.0000,794
17,6,0.6007,1082
17,7,0.8084,809
17,8,0.7984,382
17,9,0.7182,291
17,10,0.8282,454
17,11,0.7665,1499
17,12,0.8552,656
17,13,0.7655,1066
17,14,0.7306,360
17,15,0.7673,520
17,16,0.5640,406
17,17,0.8449,303
17,18,0.8723,744
17,19,0.9945,1282
18,0,0.8436,665
18,1,0.9618,1363
18,2,0.8222,1063
18,3,0.9561,775
18,4,1.0000,794
18,5,0.7672,1499
18,6,0.7148,291
18,7,0.9945,1282
18,8,0.7984,382
18,9,0.6072,1082
18,10,0.8282,454
18,11,0.8109,809
18,12,0.7333,360
18,13,0.8552,656
18,14,0.7795,1066
18,15,0.7673,520
18,16,0.5739,406
18,17,0.8449,303
18,18,0.5927,491
18,19,0.8723,744
19,0,0.8436,665
19,1,0.9618,1363
19,2,0.8241,1063
19,3,0.9561,775
19,4,1.0000,794
19,5,0.7692,1499
19,6,0.7148,291
19,7,0.9945,1282
19,8,0.7984,382
19,9,0.6100,1082
19,10,0.8282,454
19,11,0.8146,809
19,12,0.7361,360
19,13,0.8567,656
19,14,0.7955,1066
19,15,0.7673,520
19,16,0.5714,406
19,17,0.8449,303
19,18,0.5967,491
19,19,0.8723,744
20,0,0.9151,1519
20,1,0.8316,665
20,2,0.7825,1499
20,3,0.9618,1363
20,4,1.0000,794
20,5,0.7182,291
20,6,0.8146,809
20,7,0.9945,1282
20,8,0.7984,382
20,9,0.6109,1082
20,10,0.8260,1063
20,11,0.8260,454
20,12,0.7417,360
20,13,0.8180,1066
20,14,0.8262,656
20,15,0.5616,406
20,16,0.7769,520
20,17,0.8449,303
20,18,0.5764,491
21,0,0.9151,1519
21,1,0.8316,665
21,2,0.7852,1499
21,3,0.9618,1363
21,4,1.0000,794
21,5,0.7182,291
21,6,0.8195,809
21,7,0.9945,1282
21,8,0.7984,382
21,9,0.6238,1082
21,10,0.8278,1063
21,11,0.8260,454
21,12,0.7444,360
21,13,0.8340,1066
21,14,0.8338,656
21,15,0.5640,406
21,16,0.7769,520
21,17,0.8449,303
21,18,0.5804,491
22,0,0.8316,665
22,1,0.9618,1363
22,2,0.8316,1063
22,3,0.6349,1082
22,4,1.0000,794
22,5,0.8220,809
22,6,0.7216,291
22,7,0.9561,775
22,8,0.5845,491
22,9,0.7984,382
22,10,0.7892,1499
22,11,0.7417,360
22,12,0.9945,1282
22,13,0.8386,1066
22,14,0.8430,656
22,15,0.5714,406
22,16,0.7769,520
22,17,0.8449,303
22,18,0.8723,744
22,19,0.8260,454
23,0,0.8316,665
23,1,0.9618,1363
23,2,0.8335,1063
23,3,0.6423,1082
23,4,1.0000,794
23,5,0.8282,809
23,6,0.7182,291
23,7,0.9561,775
23,8,0.5825,491
23,9,0.7984,382
23,10,0.7925,1499
23,11,0.7500,360
23,12,0.9945,1282
23,13,0.8555,1066
23,14,0.8491,656
23,15,0.5690,406
23,16,0.7769,520
23,17,0.8449,303
23,18,0.8723,744
23,19,0.8260,454
24,0,0.7970,665
24,1,1.0000,794
24,2,0.9618,1363
24,3,0.7984,382
24,4,0.9561,775
24,5,0.6470,1082
24,6,0.8504,1063
24,7,0.7812,1499
24,8,0.5784,491
24,9,0.8723,744
24,10,0.8368,809
24,11,0.8282,454
24,12,0.7472,360
24,13,0.8593,1066
24,14,0.7731,520
24,15,0.9945,1282
24,16,0.8628,656
24,17,0.7182,291
24,18,0.5665,406
24,19,0.8449,303
25,0,0.7970,665
25,1,1.0000,794
25,2,0.9618,1363
25,3,0.7984,382
25,4,0.9561,775
25,5,0.6636,1082
25,6,0.8504,1063
25,7,0.7919,1499
25,8,0.5886,491
25,9,0.8723,744
25,10,0.8430,809
25,11,0.8282,454
25,12,0.7444,360
25,13,0.8724,1066
25,14,0.7731,520
25,15,0.9945,1282
25,16,0.8674,656
25,17,0.7148,291
25,18,0.5690,406
25,19,0.8449,303
26,0,0.7970,665
26,1,0.9618,1363
26,2,0.8514,1063
26,3,0.9561,775
26,4,1.0000,794
26,5,0.7148,291
26,6,0.6774,1082
26,7,0.8443,809
26,8,0.7984,382
26,9,0.5947,491
26,10,0.7985,1499
26,11,0.9945,1282
26,12,0.7444,360
26,13,0.8689,656
26,14,0.8799,1066
26,15,0.5690,406
26,16,0.7731,520
26,17,0.8449,303
26,18,0.8723,744
26,19,0.8282,454
27,0,0.7970,665
27,1,0.9618,1363
27,2,0.8504,1063
27,3,0.9561,775
27,4,1.0000,794
27,5,0.7148,291
27,6,0.6848,1082
27,7,0.8480,809
27,8,0.7984,382
27,9,0.5866,491
27,10,0.8065,1499
27,11,0.9945,1282
27,12,0.7444,360
27,13,0.8704,656
27,14,0.8809,1066
27,15,0.5739,406
27,16,0.7731,520
27,17,0.8449,303
27,18,0.8723,744
27,19,0.8282,454
28,0,0.7113,665
28,1,0.9618,1363
28,2,0.8457,1063
28,3,0.7052,1082
28,4,1.0000,794
28,5,0.8659,656
28,6,0.8443,809
28,7,0.9561,775
28,8,0.5784,491
28,9,0.7984,382
28,10,0.7079,291
28,11,0.8282,454
28,12,0.9945,1282
28,13,0.7417,360
28,14,0.8949,1066
28,15,0.5640,406
28,16,0.7865,520
28,17,0.8449,303
28,18,0.8723,744
28,19,0.8185,1499
29,0,0.7113,665
29,1,0.9618,1363
29,2,0.8514,1063
29,3,0.7061,1082
29,4,1.0000,794
29,5,0.8704,656
29,6,0.8492,809
29,7,0.9561,775
29,8,0.5764,491
29,9,0.7984,382
29,10,0.7079,291
29,11,0.8282,454
29,12,0.9945,1282
29,13,0.7444,360
29,14,0.8968,1066
29,15,0.5714,406
29,16,0.7865,520
29,17,0.8449,303
29,18,0.8723,744
29,19,0.8245,1499
30,0,0.7113,665
30,1,1.0000,794
30,2,0.9618,1363
30,3,0.7984,382
30,4,0.8542,1063
30,5,0.8504,809
30,6,0.7045,291
30,7,0.9945,1282
30,8,0.8286,1499
30,9,0.7116,1082
30,10,0.9561,775
30,11,0.8282,454
30,12,0.7472,360
30,13,0.8720,656
30,14,0.8977,1066
30,15,0.5739,406
30,16,0.7865,520
30,17,0.8449,303
30,18,0.5784,491
30,19,0.8723,744
