round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,2.3043,0.0999,,2.3043,0.00,196.36,196.36
2,0.1774,,2.3664,0.7007,,0.4193,196.36,196.36,392.73
3,0.1645,,2.3570,0.7015,,0.4106,196.36,196.36,392.73
4,0.1615,,2.3554,0.7017,,0.4097,196.36,196.36,392.73
5,0.1612,,2.3548,0.7013,,0.4087,196.36,196.36,392.73
6,0.1579,,2.3557,0.7013,,0.4075,196.36,196.36,392.73
7,0.1543,,2.3552,0.7015,,0.4077,196.36,196.36,392.73
8,0.1591,,2.3545,0.7025,,0.4048,196.36,196.36,392.73
9,0.1553,,2.3540,0.7031,,0.4045,196.36,196.36,392.73
10,0.1568,,2.3548,0.7025,,0.4049,196.36,196.36,392.73
11,0.1495,,2.3559,0.7021,,0.4068,196.36,196.36,392.73
12,0.1490,,2.3563,0.7023,,0.4044,196.36,196.36,392.73
13,0.1504,,2.3569,0.7020,,0.4040,196.36,196.36,392.73
14,0.1496,,2.3567,0.7020,,0.4037,196.36,196.36,392.73
15,0.1523,,2.3573,0.7015,,0.4079,196.36,196.36,392.73
16,0.1474,,2.3583,0.7021,,0.4047,196.36,196.36,392.73
17,0.1482,,2.3589,0.7022,,0.4065,196.36,196.36,392.73
18,0.1472,,2.3588,0.7022,,0.4054,196.36,196.36,392.73
19,0.1469,,2.3585,0.7015,,0.4069,196.36,196.36,392.73
20,0.1463,,2.3581,0.7017,,0.4057,196.36,196.36,392.73
21,0.1475,,2.3591,0.7021,,0.4056,196.36,196.36,392.73
22,0.1462,,2.3604,0.7027,,0.4032,196.36,196.36,392.73
23,0.1482,,2.3606,0.7025,,0.4042,196.36,196.36,392.73
24,0.1460,,2.3604,0.7022,,0.4070,196.36,196.36,392.73
25,0.1461,,2.3624,0.7016,,0.4074,196.36,196.36,392.73
26,0.1430,,2.3608,0.7025,,0.4030,196.36,196.36,392.73
27,0.1429,,2.3613,0.7023,,0.4027,196.36,196.36,392.73
28,0.1454,,2.3626,0.7028,,0.4032,196.36,196.36,392.73
29,0.1445,,2.3615,0.7023,,0.4056,196.36,196.36,392.73
30,0.1443,,2.3621,0.7028,,0.4068,196.36,196.36,392.73
31,0.1426,,2.3631,0.7023,,0.4062,196.36,196.36,392.73
32,0.1431,,2.3627,0.7030,,0.4037,196.36,196.36,392.73
33,0.1419,,2.3624,0.7021,,0.4076,196.36,196.36,392.73
34,0.1418,,2.3630,0.7027,,0.4029,196.36,196.36,392.73
35,0.1424,,2.3622,0.7019,,0.4062,196.36,196.36,392.73
36,0.1434,,2.3617,0.7017,,0.4064,196.36,196.36,392.73
37,0.1411,,2.3632,0.7023,,0.4051,196.36,196.36,392.73
38,0.1451,,2.3619,0.7025,,0.4052,196.36,196.36,392.73
39,0.1415,,2.3635,0.7013,,0.4068,196.36,196.36,392.73
