round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.3419,0.6119,0.1592,0.1625,0.1592,0.1243,1.7531,26.0750,31.2906,57.3656
1,0.4539,0.6512,0.1592,0.1647,0.1592,0.1304,1.3872,26.0750,26.0750,52.1500
2,0.4886,0.6718,0.1887,0.1784,0.1887,0.1346,1.2693,26.0750,31.2906,57.3656
3,0.5209,0.6922,0.1887,0.1791,0.1887,0.1385,1.1988,26.0750,26.0750,52.1500
4,0.4976,0.7090,0.2065,0.1998,0.2065,0.1417,1.1951,26.0750,31.2906,57.3656
5,0.5086,0.7169,0.2065,0.2009,0.2065,0.1433,1.1780,26.0750,26.0750,52.1500
6,0.5161,0.7248,0.2195,0.2113,0.2195,0.1449,1.1660,26.0750,31.2906,57.3656
7,0.5185,0.7332,0.2195,0.2128,0.2195,0.1468,1.1687,26.0750,26.0750,52.1500
8,0.5162,0.7391,0.2328,0.2238,0.2328,0.1479,1.1757,26.0750,31.2906,57.3656
9,0.5161,0.7442,0.2328,0.2257,0.2328,0.1490,1.1857,26.0750,26.0750,52.1500
10,0.4997,0.7520,0.2453,0.2400,0.2453,0.1502,1.1941,26.0750,31.2906,57.3656
11,0.4965,0.7552,0.2453,0.2420,0.2453,0.1511,1.2093,26.0750,26.0750,52.1500
