round,test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.1280,2.2793,1238.1279,26854.1088,28092.2367
1,0.1742,2.2415,1238.1279,1238.1279,2476.2558
2,0.2254,2.2034,1238.1279,1238.1279,2476.2558
3,0.2853,2.1650,1238.1279,1238.1279,2476.2558
4,0.3660,2.1230,1238.1279,26854.1088,28092.2367
5,0.4022,2.0833,1238.1279,1238.1279,2476.2558
6,0.4233,2.0525,1238.1279,1238.1279,2476.2558
7,0.4484,2.0146,1238.1279,1238.1279,2476.2558
8,0.4458,1.9779,1238.1279,26854.1088,28092.2367
9,0.4635,1.9440,1238.1279,1238.1279,2476.2558
10,0.4777,1.9097,1238.1279,1238.1279,2476.2558
11,0.4872,1.8778,1238.1279,1238.1279,2476.2558
12,0.4983,1.8405,1238.1279,26854.1088,28092.2367
13,0.5037,1.8096,1238.1279,1238.1279,2476.2558
14,0.5093,1.7806,1238.1279,1238.1279,2476.2558
15,0.5126,1.7521,1238.1279,1238.1279,2476.2558
16,0.5179,1.7260,1238.1279,26854.1088,28092.2367
17,0.5199,1.7012,1238.1279,1238.1279,2476.2558
18,0.5227,1.6773,1238.1279,1238.1279,2476.2558
19,0.5263,1.6545,1238.1279,1238.1279,2476.2558
20,0.5299,1.6298,1238.1279,26854.1088,28092.2367
21,0.5333,1.6071,1238.1279,1238.1279,2476.2558
22,0.5355,1.5887,1238.1279,1238.1279,2476.2558
23,0.5388,1.5701,1238.1279,1238.1279,2476.2558
24,0.5413,1.5489,1238.1279,26854.1088,28092.2367
25,0.5440,1.5301,1238.1279,1238.1279,2476.2558
26,0.5469,1.5149,1238.1279,1238.1279,2476.2558
27,0.5499,1.4983,1238.1279,1238.1279,2476.2558
28,0.5534,1.4820,1238.1279,26854.1088,28092.2367
29,0.5561,1.4675,1238.1279,1238.1279,2476.2558
30,0.5581,1.4531,1238.1279,1238.1279,2476.2558
31,0.5615,1.4402,1238.1279,1238.1279,2476.2558
32,0.5644,1.4245,1238.1279,26854.1088,28092.2367
33,0.5669,1.4097,1238.1279,1238.1279,2476.2558
34,0.5703,1.3979,1238.1279,1238.1279,2476.2558
35,0.5727,1.3868,1238.1279,1238.1279,2476.2558
36,0.5767,1.3764,1238.1279,26854.1088,28092.2367
37,0.5788,1.3626,1238.1279,1238.1279,2476.2558
38,0.5803,1.3551,1238.1279,1238.1279,2476.2558
39,0.5825,1.3455,1238.1279,1238.1279,2476.2558
40,0.5851,1.3344,1238.1279,26854.1088,28092.2367
41,0.5871,1.3244,1238.1279,1238.1279,2476.2558
42,0.5900,1.3129,1238.1279,1238.1279,2476.2558
43,0.5922,1.3078,1238.1279,1238.1279,2476.2558
44,0.5942,1.2977,1238.1279,26854.1088,28092.2367
45,0.5961,1.2894,1238.1279,1238.1279,2476.2558
46,0.5979,1.2794,1238.1279,1238.1279,2476.2558
47,0.5999,1.2721,1238.1279,1238.1279,2476.2558
48,0.6020,1.2647,1238.1279,26854.1088,28092.2367
49,0.6034,1.2570,1238.1279,1238.1279,2476.2558
50,0.6054,1.2492,1238.1279,1238.1279,2476.2558
51,0.6072,1.2415,1238.1279,1238.1279,2476.2558
52,0.6100,1.2346,1238.1279,26854.1088,28092.2367
53,0.6118,1.2270,1238.1279,1238.1279,2476.2558
54,0.6132,1.2209,1238.1279,1238.1279,2476.2558
55,0.6148,1.2145,1238.1279,1238.1279,2476.2558
56,0.6153,1.2062,1238.1279,26854.1088,28092.2367
57,0.6159,1.2008,1238.1279,1238.1279,2476.2558
58,0.6174,1.1951,1238.1279,1238.1279,2476.2558
59,0.6187,1.1893,1238.1279,1238.1279,2476.2558
60,0.6197,1.1832,1238.1279,26854.1088,28092.2367
61,0.6208,1.1782,1238.1279,1238.1279,2476.2558
62,0.6217,1.1709,1238.1279,1238.1279,2476.2558
63,0.6231,1.1658,1238.1279,1238.1279,2476.2558
64,0.6248,1.1616,1238.1279,26854.1088,28092.2367
65,0.6256,1.1575,1238.1279,1238.1279,2476.2558
66,0.6265,1.1536,1238.1279,1238.1279,2476.2558
67,0.6271,1.1458,1238.1279,1238.1279,2476.2558
68,0.6286,1.1387,1238.1279,26854.1088,28092.2367
69,0.6297,1.1359,1238.1279,1238.1279,2476.2558
70,0.6307,1.1305,1238.1279,1238.1279,2476.2558
71,0.6319,1.1250,1238.1279,1238.1279,2476.2558
72,0.6329,1.1199,1238.1279,26854.1088,28092.2367
73,0.6336,1.1175,1238.1279,1238.1279,2476.2558
74,0.6345,1.1108,1238.1279,1238.1279,2476.2558
75,0.6355,1.1078,1238.1279,1238.1279,2476.2558
76,0.6361,1.1028,1238.1279,26854.1088,28092.2367
77,0.6380,1.0939,1238.1279,1238.1279,2476.2558
78,0.6391,1.0903,1238.1279,1238.1279,2476.2558
79,0.6400,1.0845,1238.1279,1238.1279,2476.2558
80,0.6409,1.0783,1238.1279,26854.1088,28092.2367
81,0.6426,1.0760,1238.1279,1238.1279,2476.2558
82,0.6434,1.0723,1238.1279,1238.1279,2476.2558
83,0.6444,1.0660,1238.1279,1238.1279,2476.2558
84,0.6444,1.0630,1238.1279,26854.1088,28092.2367
85,0.6452,1.0591,1238.1279,1238.1279,2476.2558
86,0.6462,1.0556,1238.1279,1238.1279,2476.2558
87,0.6472,1.0496,1238.1279,1238.1279,2476.2558
88,0.6477,1.0474,1238.1279,26854.1088,28092.2367
89,0.6491,1.0431,1238.1279,1238.1279,2476.2558
90,0.6500,1.0416,1238.1279,1238.1279,2476.2558
91,0.6507,1.0377,1238.1279,1238.1279,2476.2558
92,0.6520,1.0300,1238.1279,26854.1088,28092.2367
93,0.6528,1.0305,1238.1279,1238.1279,2476.2558
94,0.6536,1.0293,1238.1279,1238.1279,2476.2558
95,0.6540,1.0236,1238.1279,1238.1279,2476.2558
96,0.6552,1.0188,1238.1279,26854.1088,28092.2367
97,0.6560,1.0185,1238.1279,1238.1279,2476.2558
98,0.6567,1.0141,1238.1279,1238.1279,2476.2558
99,0.6570,1.0098,1238.1279,1238.1279,2476.2558
100,0.6576,1.0079,1238.1279,26854.1088,28092.2367
