idx,total,dataset_base,algorithm,rho,num_clients,seed,dataset,status,exit_code,start_utc,end_utc,run_log,existing_acc_csv
1,80,Cifar10,cwFedAvg,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_105324/acc.csv
2,80,Cifar10,cwFedAvg,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_112607/acc.csv
3,80,Cifar10,cwFedAvg,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_115849/acc.csv
4,80,Cifar10,cwFedAvg,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_123143/acc.csv
5,80,Cifar10,cwFedAvg,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_130441/acc.csv
6,80,Cifar10,FedALA,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_133727/acc.csv
7,80,Cifar10,FedALA,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_141620/acc.csv
8,80,Cifar10,FedALA,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_145514/acc.csv
9,80,Cifar10,FedALA,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_153414/acc.csv
10,80,Cifar10,FedALA,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_161250/acc.csv
11,80,Cifar10,FedAS,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,skipped_completed,0,2026-06-03T13:11:56Z,2026-06-03T13:11:56Z,,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_165143/acc.csv
