round,test_acc,common_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0961,0.1020,2.4307,0.00,0.00,0.00
2,0.8788,0.1776,0.2839,0.00,0.00,0.00
3,0.9057,0.1821,0.1986,0.00,0.00,0.00
4,0.9191,0.1833,0.1391,0.00,0.00,0.00
5,0.9253,0.1860,0.1156,0.00,0.00,0.00
6,0.9321,0.1869,0.0853,0.00,0.00,0.00
7,0.9358,0.1882,0.0677,0.00,0.00,0.00
