round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2059,0.2112,0.1683,0.1606,0.1683,0.1389,1.8689,5.2156,10.4312,15.6468
1,0.2067,0.1964,0.1683,0.1555,0.1683,0.1278,1.4382,5.2156,5.2156,10.4312
2,0.1989,0.2068,0.1483,0.1530,0.1483,0.1234,1.4116,5.2156,10.4312,15.6468
3,0.1998,0.1986,0.1483,0.1509,0.1483,0.1188,1.2629,5.2156,5.2156,10.4312
4,0.2179,0.1945,0.1720,0.1612,0.1720,0.1168,1.1656,5.2156,10.4312,15.6468
5,0.2131,0.1902,0.1720,0.1571,0.1720,0.1166,1.0804,5.2156,5.2156,10.4312
6,0.2158,0.1887,0.1857,0.1585,0.1857,0.1167,1.0300,5.2156,10.4312,15.6468
7,0.2161,0.1880,0.1857,0.1564,0.1857,0.1171,1.0012,5.2156,5.2156,10.4312
8,0.2228,0.1907,0.1944,0.1588,0.1944,0.1186,1.0282,5.2156,10.4312,15.6468
9,0.2234,0.1908,0.1944,0.1587,0.1944,0.1185,1.0108,5.2156,5.2156,10.4312
10,0.2288,0.1902,0.2011,0.1609,0.2011,0.1178,0.9886,5.2156,10.4312,15.6468
11,0.2286,0.1895,0.2011,0.1608,0.2011,0.1179,0.9757,5.2156,5.2156,10.4312
12,0.2262,0.2149,0.2056,0.1644,0.2056,0.1233,1.0932,5.2156,10.4312,15.6468
13,0.2261,0.2091,0.2056,0.1643,0.2056,0.1230,1.0614,5.2156,5.2156,10.4312
14,0.2349,0.1996,0.2094,0.1649,0.2094,0.1200,0.9822,5.2156,10.4312,15.6468
15,0.2347,0.1942,0.2094,0.1652,0.2094,0.1202,0.9726,5.2156,5.2156,10.4312
16,0.2340,0.1894,0.2107,0.1651,0.2107,0.1192,0.9733,5.2156,10.4312,15.6468
17,0.2345,0.1918,0.2107,0.1665,0.2107,0.1199,0.9746,5.2156,5.2156,10.4312
18,0.2297,0.2166,0.2130,0.1706,0.2130,0.1258,1.0878,5.2156,10.4312,15.6468
19,0.2304,0.2128,0.2130,0.1719,0.2130,0.1259,1.0676,5.2156,5.2156,10.4312
20,0.2439,0.2021,0.2138,0.1776,0.2138,0.1216,1.0754,5.2156,10.4312,15.6468
21,0.2427,0.1992,0.2138,0.1775,0.2138,0.1207,1.0640,5.2156,5.2156,10.4312
22,0.2471,0.1969,0.2152,0.1767,0.2152,0.1213,1.0308,5.2156,10.4312,15.6468
23,0.2471,0.1961,0.2152,0.1779,0.2152,0.1216,1.0249,5.2156,5.2156,10.4312
24,0.2493,0.1956,0.2164,0.1787,0.2164,0.1222,1.0198,5.2156,10.4312,15.6468
25,0.2493,0.1984,0.2164,0.1792,0.2164,0.1228,1.0172,5.2156,5.2156,10.4312
26,0.2522,0.1987,0.2172,0.1799,0.2172,0.1232,1.0176,5.2156,10.4312,15.6468
27,0.2529,0.2007,0.2172,0.1806,0.2172,0.1239,1.0188,5.2156,5.2156,10.4312
28,0.2523,0.1979,0.2177,0.1805,0.2177,0.1236,1.0204,5.2156,10.4312,15.6468
29,0.2540,0.2006,0.2177,0.1818,0.2177,0.1242,1.0239,5.2156,5.2156,10.4312
30,0.2568,0.2304,0.2178,0.1884,0.2178,0.1325,1.2423,5.2156,10.4312,15.6468
31,0.2539,0.2264,0.2178,0.1885,0.2178,0.1318,1.2203,5.2156,5.2156,10.4312
32,0.2521,0.2194,0.2186,0.1888,0.2186,0.1311,1.1934,5.2156,10.4312,15.6468
33,0.2507,0.2179,0.2186,0.1884,0.2186,0.1308,1.1804,5.2156,5.2156,10.4312
34,0.2602,0.2050,0.2194,0.1869,0.2194,0.1246,1.0602,5.2156,10.4312,15.6468
