round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6348,0.6407,0.1815,0.1334,0.1815,0.1300,0.8798,0.8000,0.9605,0.9867,0.2589,0.8723,0.8000,0.9615,0.9756,0.2104,0.8907,27.3311,78.6281,105.9592
1,0.6713,0.6740,0.1815,0.1359,0.1815,0.1353,0.8939,0.8000,0.9732,0.9944,0.2436,0.8876,0.8000,0.9743,0.9920,0.1858,0.7501,27.3311,26.9305,54.2616
2,0.6943,0.6966,0.1948,0.1399,0.1948,0.1396,0.8905,0.8000,0.9739,0.9916,0.2560,0.8840,0.8000,0.9754,0.9928,0.1817,0.7042,27.3311,78.6281,105.9592
3,0.7087,0.7113,0.1948,0.1425,0.1948,0.1425,0.8932,0.8000,0.9743,0.9915,0.2509,0.8870,0.8000,0.9765,0.9933,0.1776,0.6748,27.3311,26.9305,54.2616
4,0.7197,0.7218,0.1997,0.1447,0.1997,0.1445,0.8957,0.8000,0.9741,0.9922,0.2466,0.8901,0.8000,0.9768,0.9929,0.1743,0.6547,27.3311,78.6281,105.9592
5,0.7293,0.7331,0.1997,0.1465,0.1997,0.1467,0.8955,0.8000,0.9735,0.9907,0.2492,0.8898,0.8000,0.9768,0.9931,0.1747,0.6428,27.3311,26.9305,54.2616
6,0.7352,0.7377,0.2054,0.1476,0.2054,0.1475,0.8945,0.8000,0.9728,0.9901,0.2524,0.8889,0.8000,0.9765,0.9918,0.1774,0.6312,27.3311,78.6281,105.9592
7,0.7409,0.7442,0.2054,0.1485,0.2054,0.1487,0.8934,0.8000,0.9730,0.9899,0.2528,0.8875,0.8000,0.9757,0.9923,0.1765,0.6240,27.3311,26.9305,54.2616
8,0.7452,0.7480,0.2070,0.1495,0.2070,0.1497,0.8910,0.8000,0.9729,0.9914,0.2542,0.8849,0.8000,0.9747,0.9927,0.1771,0.6188,27.3311,78.6281,105.9592
9,0.7508,0.7518,0.2070,0.1505,0.2070,0.1504,0.8892,0.8000,0.9727,0.9906,0.2514,0.8829,0.8000,0.9735,0.9923,0.1755,0.6144,27.3311,26.9305,54.2616
