round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6056,0.4909,0.4944,0.1729,0.8630,533.5248,9618.9859,10152.5107
1,0.6340,0.4870,0.4944,0.1754,0.7779,533.5248,495.2351,1028.7599
2,0.6034,0.4846,0.4884,0.1774,0.7978,533.5248,9618.9859,10152.5107
3,0.6091,0.4834,0.4884,0.1780,0.7726,533.5248,495.2351,1028.7599
4,0.6027,0.4856,0.4911,0.1788,0.7789,533.5248,9618.9859,10152.5107
5,0.6037,0.4853,0.4911,0.1794,0.7667,533.5248,495.2351,1028.7599
6,0.6056,0.4873,0.4906,0.1788,0.7637,533.5248,9618.9859,10152.5107
