algorithm,scenario,dataset,status,exit_code,start_utc,end_utc,gpu,worker
FedAS,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-06T06:57:35Z,2026-04-06T15:45:54Z,2,worker2
FedAS,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-06T15:45:54Z,2026-04-06T22:07:51Z,2,worker2
FedAS,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-06T22:07:51Z,2026-04-07T05:35:05Z,2,worker2
FedAvg,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-07T05:35:05Z,2026-04-07T08:37:36Z,2,worker2
FedAvg,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-07T08:37:36Z,2026-04-07T11:01:49Z,2,worker2
FedAvg,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-07T11:01:49Z,2026-04-07T14:35:53Z,2,worker2
FedProx,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-07T14:35:53Z,2026-04-07T17:57:51Z,2,worker2
FedProx,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-07T17:57:51Z,2026-04-07T20:32:58Z,2,worker2
FedProx,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-07T20:32:58Z,2026-04-07T23:32:07Z,2,worker2
Ditto,dir0.1_nc50,FashionMNIST_dir0.1_nc50,ok,0,2026-04-07T23:32:07Z,2026-04-08T03:05:40Z,2,worker2
Ditto,dir0.5_nc50,FashionMNIST_dir0.5_nc50,ok,0,2026-04-08T03:05:40Z,2026-04-08T06:17:06Z,2,worker2
Ditto,dir1.0_nc50,FashionMNIST_dir1.0_nc50,ok,0,2026-04-08T06:17:06Z,2026-04-08T08:56:41Z,2,worker2
