round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6337,0.6383,0.1280,0.1296,0.1280,0.1294,0.8942,0.8000,0.9617,0.9904,0.1875,0.8899,0.8000,0.9657,0.9827,0.2103,0.8959,27.3311,78.6281,105.9592
1,0.6725,0.6739,0.1280,0.1354,0.1280,0.1352,0.9010,0.8000,0.9718,0.9948,0.1743,0.8977,0.8000,0.9720,0.9916,0.1854,0.7517,27.3311,26.9305,54.2616
2,0.6959,0.6966,0.1292,0.1396,0.1292,0.1395,0.9017,0.8000,0.9737,0.9941,0.1692,0.8985,0.8000,0.9752,0.9929,0.1767,0.7024,27.3311,78.6281,105.9592
3,0.7102,0.7113,0.1292,0.1425,0.1292,0.1426,0.9018,0.8000,0.9740,0.9965,0.1662,0.8983,0.8000,0.9758,0.9935,0.1705,0.6754,27.3311,26.9305,54.2616
4,0.7205,0.7219,0.1290,0.1445,0.1290,0.1447,0.9008,0.8000,0.9737,0.9946,0.1619,0.8969,0.8000,0.9767,0.9925,0.1651,0.6575,27.3311,78.6281,105.9592
5,0.7294,0.7302,0.1290,0.1464,0.1290,0.1463,0.8999,0.8000,0.9731,0.9948,0.1589,0.8955,0.8000,0.9767,0.9922,0.1605,0.6451,27.3311,26.9305,54.2616
6,0.7358,0.7369,0.1294,0.1474,0.1294,0.1475,0.8981,0.8000,0.9729,0.9947,0.1578,0.8933,0.8000,0.9763,0.9919,0.1567,0.6364,27.3311,78.6281,105.9592
7,0.7454,0.7457,0.1294,0.1492,0.1294,0.1492,0.8965,0.8000,0.9732,0.9953,0.1564,0.8912,0.8000,0.9756,0.9919,0.1545,0.6302,27.3311,26.9305,54.2616
8,0.7462,0.7473,0.1291,0.1496,0.1291,0.1496,0.8943,0.8000,0.9731,0.9941,0.1549,0.8886,0.8000,0.9746,0.9914,0.1532,0.6243,27.3311,78.6281,105.9592
9,0.7520,0.7527,0.1291,0.1505,0.1291,0.1506,0.8922,0.8000,0.9728,0.9937,0.1529,0.8861,0.8000,0.9734,0.9915,0.1508,0.6196,27.3311,26.9305,54.2616
10,0.7558,0.7561,0.1296,0.1513,0.1296,0.1513,0.8899,0.8000,0.9724,0.9941,0.1542,0.8834,0.8000,0.9727,0.9913,0.1493,0.6162,27.3311,78.6281,105.9592
11,0.7596,0.7612,0.1296,0.1521,0.1296,0.1524,0.8878,0.8001,0.9717,0.9932,0.1521,0.8809,0.8000,0.9721,0.9909,0.1474,0.6123,27.3311,26.9305,54.2616
12,0.7645,0.7648,0.1286,0.1529,0.1286,0.1529,0.8853,0.8001,0.9708,0.9931,0.1506,0.8780,0.8000,0.9716,0.9897,0.1454,0.6101,27.3311,78.6281,105.9592
13,0.7662,0.7676,0.1286,0.1534,0.1286,0.1536,0.8830,0.8001,0.9700,0.9946,0.1495,0.8755,0.8000,0.9708,0.9898,0.1457,0.6079,27.3311,26.9305,54.2616
14,0.7693,0.7699,0.1282,0.1539,0.1282,0.1540,0.8805,0.8000,0.9689,0.9932,0.1476,0.8727,0.8000,0.9698,0.9896,0.1424,0.6062,27.3311,78.6281,105.9592
15,0.7726,0.7739,0.1282,0.1545,0.1282,0.1548,0.8782,0.8000,0.9677,0.9939,0.1477,0.8702,0.8000,0.9687,0.9899,0.1431,0.6047,27.3311,26.9305,54.2616
16,0.7748,0.7758,0.1283,0.1550,0.1283,0.1552,0.8757,0.8000,0.9665,0.9934,0.1458,0.8675,0.8000,0.9677,0.9890,0.1407,0.6030,27.3311,78.6281,105.9592
17,0.7767,0.7770,0.1283,0.1553,0.1283,0.1554,0.8735,0.8000,0.9651,0.9937,0.1448,0.8651,0.8000,0.9667,0.9891,0.1402,0.6022,27.3311,26.9305,54.2616
18,0.7783,0.7783,0.1282,0.1556,0.1282,0.1556,0.8713,0.8000,0.9638,0.9938,0.1452,0.8627,0.8000,0.9657,0.9892,0.1408,0.6005,27.3311,78.6281,105.9592
19,0.7797,0.7797,0.1282,0.1560,0.1282,0.1560,0.8691,0.8000,0.9627,0.9942,0.1434,0.8605,0.8000,0.9650,0.9888,0.1380,0.5992,27.3311,26.9305,54.2616
20,0.7835,0.7824,0.1283,0.1565,0.1283,0.1564,0.8671,0.8000,0.9615,0.9933,0.1452,0.8585,0.8000,0.9642,0.9885,0.1399,0.5978,27.3311,78.6281,105.9592
21,0.7833,0.7841,0.1283,0.1567,0.1283,0.1569,0.8652,0.8000,0.9603,0.9942,0.1436,0.8564,0.8000,0.9632,0.9889,0.1362,0.5965,27.3311,26.9305,54.2616
22,0.7831,0.7820,0.1286,0.1567,0.1286,0.1566,0.8633,0.8000,0.9592,0.9931,0.1437,0.8545,0.8000,0.9625,0.9878,0.1348,0.5956,27.3311,78.6281,105.9592
23,0.7863,0.7861,0.1286,0.1573,0.1286,0.1573,0.8615,0.8000,0.9580,0.9920,0.1438,0.8528,0.8000,0.9616,0.9886,0.1362,0.5948,27.3311,26.9305,54.2616
24,0.7845,0.7855,0.1279,0.1569,0.1279,0.1571,0.8598,0.8000,0.9570,0.9928,0.1428,0.8510,0.8000,0.9608,0.9880,0.1355,0.5932,27.3311,78.6281,105.9592
25,0.7891,0.7879,0.1279,0.1576,0.1279,0.1575,0.8583,0.8000,0.9559,0.9920,0.1435,0.8495,0.8000,0.9599,0.9879,0.1353,0.5934,27.3311,26.9305,54.2616
26,0.7888,0.7893,0.1272,0.1576,0.1272,0.1578,0.8568,0.8000,0.9547,0.9923,0.1430,0.8480,0.8000,0.9590,0.9878,0.1337,0.5918,27.3311,78.6281,105.9592
27,0.7900,0.7908,0.1272,0.1578,0.1272,0.1580,0.8554,0.8000,0.9536,0.9928,0.1407,0.8467,0.8000,0.9581,0.9876,0.1315,0.5901,27.3311,26.9305,54.2616
28,0.7910,0.7914,0.1274,0.1583,0.1274,0.1584,0.8541,0.8000,0.9528,0.9936,0.1422,0.8454,0.8000,0.9573,0.9876,0.1321,0.5894,27.3311,78.6281,105.9592
29,0.7913,0.7918,0.1274,0.1582,0.1274,0.1584,0.8529,0.8000,0.9518,0.9923,0.1419,0.8443,0.8000,0.9564,0.9879,0.1323,0.5877,27.3311,26.9305,54.2616
30,0.7906,0.7928,0.1276,0.1584,0.1276,0.1587,0.8517,0.8000,0.9507,0.9926,0.1427,0.8432,0.8000,0.9558,0.9876,0.1326,0.5868,27.3311,78.6281,105.9592
31,0.7940,0.7935,0.1276,0.1588,0.1276,0.1587,0.8507,0.8000,0.9493,0.9941,0.1413,0.8422,0.8000,0.9551,0.9879,0.1315,0.5858,27.3311,26.9305,54.2616
32,0.7941,0.7957,0.1277,0.1590,0.1277,0.1592,0.8498,0.8000,0.9484,0.9916,0.1420,0.8412,0.8000,0.9545,0.9870,0.1305,0.5846,27.3311,78.6281,105.9592
33,0.7949,0.7934,0.1277,0.1591,0.1277,0.1589,0.8489,0.8000,0.9478,0.9921,0.1410,0.8405,0.8000,0.9538,0.9879,0.1308,0.5837,27.3311,26.9305,54.2616
34,0.7958,0.7974,0.1276,0.1592,0.1276,0.1595,0.8482,0.8000,0.9470,0.9930,0.1425,0.8398,0.8000,0.9533,0.9872,0.1326,0.5831,27.3311,78.6281,105.9592
35,0.7962,0.7967,0.1276,0.1593,0.1276,0.1593,0.8475,0.8000,0.9465,0.9929,0.1423,0.8391,0.8000,0.9525,0.9875,0.1322,0.5822,27.3311,26.9305,54.2616
36,0.7980,0.7984,0.1278,0.1597,0.1278,0.1597,0.8468,0.8000,0.9459,0.9930,0.1416,0.8385,0.8000,0.9520,0.9878,0.1311,0.5804,27.3311,78.6281,105.9592
37,0.7975,0.7976,0.1278,0.1596,0.1278,0.1597,0.8462,0.8000,0.9457,0.9919,0.1409,0.8379,0.8000,0.9515,0.9872,0.1303,0.5790,27.3311,26.9305,54.2616
38,0.7988,0.7999,0.1278,0.1598,0.1278,0.1600,0.8457,0.8000,0.9451,0.9933,0.1398,0.8374,0.8000,0.9510,0.9868,0.1290,0.5778,27.3311,78.6281,105.9592
39,0.7991,0.7999,0.1278,0.1599,0.1278,0.1600,0.8451,0.8000,0.9446,0.9932,0.1404,0.8368,0.8000,0.9506,0.9877,0.1284,0.5765,27.3311,26.9305,54.2616
40,0.8000,0.8004,0.1273,0.1600,0.1273,0.1602,0.8446,0.8000,0.9444,0.9934,0.1393,0.8364,0.8000,0.9502,0.9875,0.1293,0.5748,27.3311,78.6281,105.9592
41,0.8018,0.8022,0.1273,0.1603,0.1273,0.1605,0.8443,0.8000,0.9440,0.9924,0.1406,0.8361,0.8000,0.9496,0.9869,0.1305,0.5743,27.3311,26.9305,54.2616
42,0.8014,0.8024,0.1274,0.1601,0.1274,0.1602,0.8438,0.8000,0.9435,0.9920,0.1389,0.8357,0.8000,0.9491,0.9871,0.1267,0.5729,27.3311,78.6281,105.9592
43,0.8035,0.8038,0.1274,0.1604,0.1274,0.1605,0.8435,0.8000,0.9429,0.9921,0.1394,0.8353,0.8000,0.9489,0.9875,0.1280,0.5709,27.3311,26.9305,54.2616
44,0.8018,0.8035,0.1272,0.1606,0.1272,0.1610,0.8431,0.8000,0.9427,0.9929,0.1394,0.8350,0.8000,0.9485,0.9867,0.1281,0.5709,27.3311,78.6281,105.9592
45,0.8041,0.8044,0.1272,0.1607,0.1272,0.1607,0.8428,0.8000,0.9426,0.9929,0.1366,0.8347,0.8000,0.9482,0.9875,0.1244,0.5693,27.3311,26.9305,54.2616
46,0.8033,0.8038,0.1275,0.1607,0.1275,0.1608,0.8426,0.8000,0.9426,0.9923,0.1398,0.8346,0.8000,0.9479,0.9874,0.1282,0.5682,27.3311,78.6281,105.9592
47,0.8045,0.8050,0.1275,0.1609,0.1275,0.1610,0.8423,0.8000,0.9423,0.9919,0.1384,0.8343,0.8000,0.9476,0.9872,0.1263,0.5666,27.3311,26.9305,54.2616
48,0.8041,0.8056,0.1275,0.1608,0.1275,0.1611,0.8420,0.8000,0.9419,0.9935,0.1388,0.8340,0.8000,0.9475,0.9874,0.1269,0.5672,27.3311,78.6281,105.9592
