round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
84,0.3344,0.2369,0.1027,29.9250,495.2512,9619.0019,10114.2531
85,0.3199,0.2148,0.1027,0.3051,495.2512,495.2512,990.5023
86,0.3087,0.2116,0.1027,0.3689,495.2512,495.2512,990.5023
87,0.3176,0.2190,0.1027,0.0877,495.2512,495.2512,990.5023
88,0.3678,0.2487,0.1104,3821.7945,495.2512,9619.0019,10114.2531
89,0.3350,0.2250,0.1104,0.4742,495.2512,495.2512,990.5023
90,0.3333,0.2232,0.1104,0.6051,495.2512,495.2512,990.5023
91,0.3393,0.2270,0.1104,0.1576,495.2512,495.2512,990.5023
92,0.2774,0.2402,0.1114,38468088.5462,495.2512,9619.0019,10114.2531
93,0.3080,0.2165,0.1114,38465256.8682,495.2512,495.2512,990.5023
94,0.3205,0.2204,0.1114,38418926.2418,495.2512,495.2512,990.5023
95,0.2932,0.2135,0.1114,38423269.0367,495.2512,495.2512,990.5023
96,0.2495,0.2100,0.1098,120829952.1800,495.2512,9619.0019,10114.2531
97,0.3103,0.1913,0.1098,120725268.9119,495.2512,495.2512,990.5023
98,0.3024,0.1982,0.1098,120813780.7703,495.2512,495.2512,990.5023
99,0.3166,0.1982,0.1098,120962373.8679,495.2512,495.2512,990.5023
100,0.2791,0.1962,0.0877,729727.1544,495.2512,9619.0019,10114.2531
