round,cluster_id,accuracy,samples
0,0,0.1700,2000
0,1,0.3845,2000
0,2,0.3570,1000
0,3,0.2647,1500
0,4,0.1075,2000
0,5,0.2200,500
0,6,0.3580,1000
1,0,0.2310,2000
1,1,0.4345,2000
1,2,0.4280,1000
1,3,0.4273,1500
1,4,0.2065,2000
1,5,0.4320,500
1,6,0.4580,1000
2,0,0.2850,2000
2,1,0.4285,2000
2,2,0.4710,2000
2,3,0.4020,2000
2,4,0.1745,2000
3,0,0.3905,2000
3,1,0.4645,2000
3,2,0.5075,2000
3,3,0.4640,2000
3,4,0.2480,2000
4,0,0.4170,2000
4,1,0.4715,2000
4,2,0.5225,2000
4,3,0.4190,2000
4,4,0.2275,2000
5,0,0.4705,2000
5,1,0.5035,2000
5,2,0.5470,2000
5,3,0.4580,2000
5,4,0.2690,2000
6,0,0.4885,2000
6,1,0.5215,2000
6,2,0.5550,2000
6,3,0.4410,2000
6,4,0.2590,1000
6,5,0.2950,1000
7,0,0.5235,2000
7,1,0.5325,2000
7,2,0.5710,2000
7,3,0.4615,2000
7,4,0.2800,1000
7,5,0.3030,1000
8,0,0.5307,1500
8,1,0.5380,1500
8,2,0.5725,2000
8,3,0.4610,1000
8,4,0.3013,1500
8,5,0.2880,500
8,6,0.5540,500
8,7,0.5100,500
8,8,0.4600,1000
9,0,0.5433,1500
9,1,0.5473,1500
9,2,0.5810,2000
9,3,0.4750,1000
9,4,0.3253,1500
9,5,0.2880,500
9,6,0.5560,500
9,7,0.5280,500
9,8,0.4710,1000
10,0,0.5900,500
10,1,0.5550,2000
10,2,0.5887,1500
10,3,0.4820,1500
10,4,0.3190,1000
10,5,0.3410,1000
10,7,0.5340,1000
10,8,0.4480,500
10,9,0.5340,500
10,10,0.5700,500
11,0,0.6020,500
11,1,0.5635,2000
11,2,0.5893,1500
11,3,0.4920,1500
11,4,0.3260,1000
11,5,0.3590,1000
11,7,0.5530,1000
11,8,0.4560,500
11,9,0.5460,500
11,10,0.5740,500
12,1,0.5630,2000
12,2,0.5910,2000
12,3,0.4760,2000
12,4,0.3507,1500
12,5,0.3340,500
12,7,0.5595,2000
13,1,0.5625,2000
13,2,0.5930,2000
13,3,0.4815,2000
13,4,0.3653,1500
13,5,0.3400,500
13,7,0.5700,2000
14,1,0.5605,2000
14,2,0.5995,2000
14,3,0.4887,1500
14,4,0.3510,1000
14,5,0.3750,1000
14,7,0.5890,1000
14,8,0.5630,1000
14,9,0.4740,500
15,1,0.5610,2000
15,2,0.5995,2000
15,3,0.4920,1500
15,4,0.3570,1000
15,5,0.3790,1000
15,7,0.5920,1000
15,8,0.5750,1000
15,9,0.4780,500
16,1,0.5570,2000
16,2,0.6075,2000
16,3,0.4873,1500
16,4,0.3620,1000
16,5,0.3850,1000
16,7,0.6100,1000
16,8,0.5650,1000
16,9,0.4760,500
17,1,0.5590,2000
17,2,0.6075,2000
17,3,0.4933,1500
17,4,0.3650,1000
17,5,0.3860,1000
17,7,0.6170,1000
17,8,0.5710,1000
17,9,0.4800,500
18,1,0.5640,2000
18,2,0.6090,2000
18,3,0.4835,2000
18,4,0.3720,1000
18,5,0.3890,1000
18,7,0.5895,2000
19,1,0.5630,2000
19,2,0.6030,2000
19,3,0.4815,2000
19,4,0.3750,1000
19,5,0.3890,1000
19,7,0.5930,2000
20,1,0.5610,2000
20,2,0.6045,2000
20,3,0.4790,2000
20,4,0.3770,1000
20,5,0.3890,1000
20,7,0.5970,2000
21,1,0.5600,2000
21,2,0.6025,2000
21,3,0.4765,2000
21,4,0.3840,1000
21,5,0.3860,1000
21,7,0.6010,2000
22,1,0.5707,1500
22,2,0.6010,1000
22,3,0.4790,2000
22,4,0.3895,2000
22,7,0.6220,1000
22,8,0.5810,1000
22,9,0.5200,500
22,10,0.6000,1000
23,1,0.5673,1500
23,2,0.6020,1000
23,3,0.4810,2000
23,4,0.3890,2000
23,7,0.6240,1000
23,8,0.5830,1000
23,9,0.5260,500
23,10,0.5960,1000
24,1,0.5575,2000
24,2,0.5970,2000
24,3,0.4727,1500
24,4,0.3970,1000
24,7,0.6035,2000
24,11,0.4680,500
24,12,0.3930,1000
25,1,0.5515,2000
25,2,0.5965,2000
25,3,0.4680,1500
25,4,0.3970,1000
25,7,0.6015,2000
25,11,0.4680,500
25,12,0.3990,1000
26,1,0.5427,1500
26,2,0.5965,2000
26,3,0.4705,2000
26,4,0.4005,2000
26,7,0.5940,2000
26,13,0.5480,500
27,1,0.5427,1500
27,2,0.5940,2000
27,3,0.4690,2000
27,4,0.4020,2000
27,7,0.5955,2000
27,13,0.5520,500
28,1,0.5365,2000
