round,cluster_id,accuracy,samples
41,4,0.5830,2000
41,7,0.5980,2000
42,0,0.4080,2000
42,1,0.5225,2000
42,3,0.4415,2000
42,4,0.5840,2000
42,7,0.6005,2000
43,0,0.4095,2000
43,1,0.5225,2000
43,3,0.4440,2000
43,4,0.5840,2000
43,7,0.6010,2000
44,0,0.4015,2000
44,1,0.5250,2000
44,3,0.4415,2000
44,4,0.5840,2000
44,7,0.5975,2000
45,0,0.4040,2000
45,1,0.5250,2000
45,3,0.4415,2000
45,4,0.5845,2000
45,7,0.5990,2000
46,0,0.4030,2000
46,1,0.5420,1500
46,3,0.4420,2000
46,4,0.5830,2000
46,7,0.6173,1500
46,8,0.4680,500
46,9,0.5780,500
47,0,0.4025,2000
47,1,0.5420,1500
47,3,0.4385,2000
47,4,0.5820,2000
47,7,0.6153,1500
47,8,0.4660,500
47,9,0.5800,500
48,0,0.4000,2000
48,1,0.5240,2000
48,3,0.4435,2000
48,4,0.5825,2000
48,7,0.6020,2000
49,0,0.3990,2000
49,1,0.5215,2000
49,3,0.4425,2000
49,4,0.5835,2000
49,7,0.6045,2000
50,0,0.4020,2000
50,1,0.5250,2000
50,3,0.4390,2000
50,4,0.5835,2000
50,7,0.6080,2000
51,0,0.4015,2000
51,1,0.5250,2000
51,3,0.4385,2000
51,4,0.5830,2000
51,7,0.6095,2000
52,0,0.3990,2000
52,1,0.5250,2000
52,3,0.4375,2000
52,4,0.5875,2000
52,7,0.6100,2000
53,0,0.3995,2000
53,1,0.5265,2000
53,3,0.4365,2000
53,4,0.5875,2000
53,7,0.6105,2000
54,0,0.4020,2000
54,1,0.5260,2000
54,3,0.4395,2000
54,4,0.5870,2000
54,7,0.6130,2000
55,0,0.4040,2000
55,1,0.5275,2000
55,3,0.4370,2000
55,4,0.5890,2000
55,7,0.6140,2000
56,0,0.4030,2000
56,1,0.5275,2000
56,3,0.4460,2000
56,4,0.5900,2000
56,7,0.6130,2000
57,0,0.4035,2000
57,1,0.5270,2000
57,3,0.4440,2000
57,4,0.5880,2000
57,7,0.6140,2000
58,0,0.4025,2000
58,1,0.5530,1000
58,3,0.4425,2000
58,4,0.5895,2000
58,7,0.6130,2000
58,8,0.5040,1000
59,0,0.4020,2000
59,1,0.5540,1000
59,3,0.4395,2000
59,4,0.5900,2000
59,7,0.6130,2000
59,8,0.5060,1000
60,0,0.4060,2000
60,1,0.5290,2000
60,3,0.4340,1000
60,4,0.5915,2000
60,7,0.6155,2000
60,9,0.4570,1000
61,0,0.4080,2000
61,1,0.5315,2000
61,3,0.4330,1000
61,4,0.5910,2000
61,7,0.6165,2000
61,9,0.4590,1000
62,0,0.4025,2000
62,1,0.5300,2000
62,3,0.4440,2000
62,4,0.5930,2000
62,7,0.6220,1500
62,10,0.6120,500
63,0,0.4045,2000
63,1,0.5310,2000
63,3,0.4465,2000
63,4,0.5970,2000
63,7,0.6227,1500
63,10,0.6160,500
64,0,0.4095,2000
64,1,0.5330,2000
64,3,0.4515,2000
64,4,0.5940,2000
64,7,0.6205,2000
65,0,0.4080,2000
65,1,0.5330,2000
65,3,0.4495,2000
65,4,0.5935,2000
65,7,0.6200,2000
66,0,0.4125,2000
66,1,0.5310,2000
66,3,0.4500,2000
66,4,0.5945,2000
66,7,0.6215,2000
67,0,0.4135,2000
67,1,0.5330,2000
67,3,0.4510,2000
67,4,0.5955,2000
67,7,0.6235,2000
68,0,0.4105,2000
68,1,0.5330,2000
68,3,0.4520,2000
68,4,0.5975,2000
68,7,0.6245,2000
69,0,0.4100,2000
69,1,0.5360,2000
69,3,0.4540,2000
69,4,0.5970,2000
69,7,0.6250,2000
70,0,0.4145,2000
70,1,0.5340,2000
70,3,0.4525,2000
70,4,0.5975,2000
70,7,0.6215,2000
