round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,local_pm_weight_mean,local_pm_weight_min,local_pm_weight_max,local_agree_pm,local_agree_gm,global_pm_weight_mean,global_pm_weight_min,global_pm_weight_max,global_agree_pm,global_agree_gm,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2963,0.3966,0.1334,0.1307,0.1334,0.1280,0.4637,0.3506,0.6386,0.8005,0.6905,0.4616,0.3500,0.6530,0.7950,0.7056,2.1441,78.6281,78.6281,157.2562
1,0.4026,0.5147,0.1291,0.1263,0.1291,0.1237,0.4554,0.3500,0.6956,0.7799,0.5112,0.4490,0.3500,0.6997,0.7548,0.5268,1.7711,78.6281,78.6281,157.2562
2,0.4702,0.5822,0.1248,0.1258,0.1248,0.1226,0.4245,0.3501,0.6766,0.8106,0.4051,0.4200,0.3500,0.6833,0.7653,0.4030,1.5495,78.6281,78.6281,157.2562
3,0.5398,0.6286,0.1224,0.1290,0.1225,0.1268,0.4048,0.3500,0.6616,0.8358,0.3200,0.4015,0.3500,0.6662,0.7885,0.3214,1.4351,78.6281,78.6281,157.2562
4,0.4699,0.5731,0.1273,0.1277,0.1273,0.1258,0.3888,0.3500,0.6093,0.7876,0.4093,0.3872,0.3500,0.6262,0.7340,0.4085,1.5849,78.6281,78.6281,157.2562
5,0.4839,0.5803,0.1322,0.1258,0.1322,0.1247,0.3846,0.3500,0.6256,0.8012,0.3893,0.3828,0.3500,0.6256,0.7648,0.3710,1.5575,78.6281,78.6281,157.2562
6,0.5211,0.6329,0.1346,0.1308,0.1346,0.1319,0.3818,0.3500,0.5975,0.7861,0.3664,0.3802,0.3500,0.5975,0.7612,0.3497,1.5071,78.6281,78.6281,157.2562
7,0.5397,0.6392,0.1388,0.1348,0.1387,0.1324,0.3781,0.3500,0.5633,0.8030,0.3485,0.3763,0.3500,0.5681,0.7717,0.3311,1.4801,78.6281,78.6281,157.2562
8,0.6141,0.6757,0.1410,0.1392,0.1410,0.1354,0.3743,0.3500,0.5116,0.8497,0.2727,0.3727,0.3500,0.5524,0.8331,0.2607,1.3993,78.6281,78.6281,157.2562
9,0.6338,0.6935,0.1436,0.1417,0.1436,0.1387,0.3700,0.3500,0.4912,0.8578,0.2643,0.3687,0.3500,0.5448,0.8362,0.2543,1.3609,78.6281,78.6281,157.2562
10,0.6286,0.6787,0.1451,0.1387,0.1450,0.1358,0.3661,0.3500,0.4723,0.8684,0.2738,0.3650,0.3500,0.5310,0.8499,0.2484,1.3551,78.6281,78.6281,157.2562
11,0.6463,0.7004,0.1472,0.1432,0.1472,0.1402,0.3636,0.3500,0.4651,0.8826,0.2718,0.3626,0.3500,0.5194,0.8559,0.2511,1.3384,78.6281,78.6281,157.2562
12,0.6466,0.7013,0.1486,0.1442,0.1486,0.1404,0.3605,0.3500,0.4480,0.8839,0.2687,0.3597,0.3500,0.5037,0.8561,0.2518,1.3351,78.6281,78.6281,157.2562
13,0.6537,0.7051,0.1510,0.1455,0.1509,0.1410,0.3583,0.3500,0.4433,0.8822,0.2733,0.3577,0.3500,0.4850,0.8662,0.2429,1.3217,78.6281,78.6281,157.2562
14,0.6483,0.6944,0.1550,0.1448,0.1550,0.1391,0.3569,0.3500,0.4371,0.8756,0.2708,0.3563,0.3500,0.4745,0.8628,0.2409,1.3271,78.6281,78.6281,157.2562
15,0.6664,0.7206,0.1544,0.1492,0.1544,0.1440,0.3554,0.3500,0.4252,0.8821,0.2689,0.3550,0.3500,0.4591,0.8556,0.2531,1.3155,78.6281,78.6281,157.2562
16,0.6206,0.7237,0.1556,0.1518,0.1556,0.1468,0.3542,0.3500,0.4152,0.8218,0.3328,0.3538,0.3500,0.4450,0.7904,0.3202,1.3940,78.6281,78.6281,157.2562
17,0.6313,0.7274,0.1579,0.1547,0.1579,0.1473,0.3534,0.3500,0.4098,0.8281,0.3239,0.3530,0.3500,0.4353,0.7945,0.3117,1.3755,78.6281,78.6281,157.2562
18,0.6522,0.7224,0.1593,0.1535,0.1593,0.1447,0.3528,0.3500,0.4044,0.8659,0.2972,0.3525,0.3500,0.4261,0.8327,0.2803,1.3373,78.6281,78.6281,157.2562
19,0.6678,0.7278,0.1617,0.1546,0.1617,0.1459,0.3523,0.3500,0.4008,0.8729,0.2915,0.3520,0.3500,0.4158,0.8426,0.2727,1.3180,78.6281,78.6281,157.2562
20,0.6719,0.7283,0.1598,0.1534,0.1598,0.1460,0.3518,0.3500,0.3930,0.8828,0.2811,0.3516,0.3500,0.4072,0.8572,0.2582,1.3032,78.6281,78.6281,157.2562
21,0.6936,0.7543,0.1613,0.1587,0.1613,0.1509,0.3514,0.3500,0.3878,0.8742,0.2778,0.3513,0.3500,0.4018,0.8488,0.2660,1.2863,78.6281,78.6281,157.2562
22,0.6764,0.7350,0.1635,0.1547,0.1636,0.1473,0.3512,0.3500,0.3853,0.8912,0.2834,0.3511,0.3500,0.3937,0.8637,0.2604,1.2863,78.6281,78.6281,157.2562
23,0.6876,0.7508,0.1634,0.1571,0.1634,0.1504,0.3510,0.3500,0.3812,0.8880,0.2823,0.3509,0.3500,0.3884,0.8610,0.2618,1.2755,78.6281,78.6281,157.2562
24,0.6847,0.7436,0.1658,0.1573,0.1658,0.1486,0.3509,0.3500,0.3799,0.8835,0.2879,0.3508,0.3500,0.3841,0.8557,0.2679,1.2783,78.6281,78.6281,157.2562
25,0.7041,0.7633,0.1660,0.1605,0.1659,0.1525,0.3508,0.3500,0.3755,0.8887,0.2817,0.3507,0.3500,0.3800,0.8602,0.2661,1.2633,78.6281,78.6281,157.2562
26,0.7013,0.7590,0.1683,0.1602,0.1683,0.1516,0.3507,0.3500,0.3739,0.8828,0.2838,0.3506,0.3500,0.3769,0.8549,0.2659,1.2610,78.6281,78.6281,157.2562
27,0.7068,0.7640,0.1711,0.1612,0.1711,0.1527,0.3506,0.3500,0.3716,0.8856,0.2864,0.3505,0.3500,0.3737,0.8564,0.2641,1.2531,78.6281,78.6281,157.2562
28,0.7083,0.7640,0.1734,0.1638,0.1734,0.1531,0.3506,0.3500,0.3702,0.8819,0.2845,0.3505,0.3500,0.3724,0.8513,0.2716,1.2501,78.6281,78.6281,157.2562
29,0.7171,0.7776,0.1743,0.1647,0.1743,0.1553,0.3505,0.3500,0.3680,0.8948,0.2854,0.3504,0.3500,0.3695,0.8624,0.2675,1.2413,78.6281,78.6281,157.2562
30,0.7177,0.7736,0.1773,0.1651,0.1773,0.1547,0.3505,0.3500,0.3676,0.8950,0.2859,0.3504,0.3500,0.3687,0.8621,0.2649,1.2365,78.6281,78.6281,157.2562
31,0.7176,0.7721,0.1780,0.1656,0.1780,0.1545,0.3505,0.3500,0.3672,0.8948,0.2881,0.3504,0.3500,0.3681,0.8606,0.2683,1.2333,78.6281,78.6281,157.2562
32,0.7216,0.7741,0.1778,0.1668,0.1778,0.1548,0.3504,0.3500,0.3655,0.8865,0.2861,0.3504,0.3500,0.3665,0.8551,0.2659,1.2295,78.6281,78.6281,157.2562
33,0.7183,0.7782,0.1814,0.1667,0.1814,0.1555,0.3504,0.3500,0.3648,0.8992,0.2930,0.3504,0.3500,0.3659,0.8623,0.2733,1.2291,78.6281,78.6281,157.2562
34,0.7153,0.7717,0.1836,0.1668,0.1836,0.1544,0.3505,0.3500,0.3651,0.8953,0.2997,0.3504,0.3500,0.3656,0.8572,0.2779,1.2271,78.6281,78.6281,157.2562
35,0.7255,0.7812,0.1818,0.1686,0.1818,0.1564,0.3504,0.3500,0.3641,0.8925,0.2946,0.3504,0.3500,0.3645,0.8583,0.2751,1.2186,78.6281,78.6281,157.2562
36,0.7220,0.7797,0.1870,0.1699,0.1869,0.1559,0.3504,0.3500,0.3638,0.8907,0.2983,0.3504,0.3500,0.3641,0.8551,0.2776,1.2160,78.6281,78.6281,157.2562
37,0.7234,0.7827,0.1867,0.1699,0.1867,0.1564,0.3504,0.3500,0.3638,0.9007,0.2989,0.3503,0.3500,0.3638,0.8612,0.2804,1.2135,78.6281,78.6281,157.2562
38,0.7239,0.7797,0.1869,0.1707,0.1869,0.1562,0.3504,0.3500,0.3639,0.8959,0.3020,0.3504,0.3500,0.3639,0.8569,0.2824,1.2109,78.6281,78.6281,157.2562
39,0.7223,0.7758,0.1892,0.1693,0.1892,0.1553,0.3504,0.3500,0.3633,0.8981,0.3041,0.3504,0.3500,0.3633,0.8590,0.2786,1.2103,78.6281,78.6281,157.2562
40,0.7219,0.7791,0.1910,0.1704,0.1910,0.1559,0.3505,0.3500,0.3634,0.8870,0.3109,0.3504,0.3500,0.3634,0.8517,0.2828,1.2064,78.6281,78.6281,157.2562
41,0.7248,0.7841,0.1929,0.1719,0.1929,0.1569,0.3505,0.3500,0.3638,0.8894,0.3132,0.3504,0.3500,0.3638,0.8546,0.2849,1.2017,78.6281,78.6281,157.2562
42,0.7246,0.7860,0.1919,0.1734,0.1919,0.1572,0.3505,0.3500,0.3638,0.8920,0.3089,0.3504,0.3500,0.3638,0.8507,0.2885,1.1997,78.6281,78.6281,157.2562
43,0.7256,0.7850,0.1932,0.1724,0.1932,0.1569,0.3505,0.3500,0.3650,0.8983,0.3097,0.3504,0.3500,0.3650,0.8552,0.2871,1.1985,78.6281,78.6281,157.2562
44,0.7275,0.7857,0.1956,0.1721,0.1956,0.1573,0.3505,0.3500,0.3647,0.9027,0.3136,0.3504,0.3500,0.3647,0.8618,0.2854,1.1953,78.6281,78.6281,157.2562
45,0.7290,0.7911,0.1970,0.1740,0.1970,0.1582,0.3505,0.3500,0.3639,0.8929,0.3167,0.3504,0.3500,0.3639,0.8528,0.2904,1.1896,78.6281,78.6281,157.2562
46,0.7259,0.7809,0.1979,0.1727,0.1979,0.1562,0.3506,0.3500,0.3652,0.8960,0.3165,0.3504,0.3500,0.3652,0.8518,0.2898,1.1928,78.6281,78.6281,157.2562
