round,cluster_id,accuracy,samples
12,6,0.7113,291
12,7,0.5804,491
12,8,0.7138,1499
12,9,0.7984,382
12,10,0.8449,303
12,11,0.8282,454
12,12,0.7420,1066
12,13,0.7417,360
12,14,0.8704,656
12,15,0.5517,406
12,16,0.7985,809
12,17,0.8723,744
12,18,0.7635,520
12,19,0.9945,1282
13,0,0.9714,665
13,1,0.9611,1363
13,2,0.8119,1063
13,3,0.5712,1082
13,4,1.0000,794
13,5,0.9561,775
13,6,0.7010,291
13,7,0.5866,491
13,8,0.7218,1499
13,9,0.7984,382
13,10,0.8449,303
13,11,0.8282,454
13,12,0.7439,1066
13,13,0.7417,360
13,14,0.8689,656
13,15,0.5517,406
13,16,0.7998,809
13,17,0.8723,744
13,18,0.7635,520
13,19,0.9945,1282
14,0,0.9714,665
14,1,0.9611,1363
14,2,0.8109,1063
14,3,0.9561,775
14,4,1.0000,794
14,5,0.8010,809
14,6,0.7045,291
14,7,0.7265,1499
14,8,0.7984,382
14,9,0.8723,744
14,10,0.5823,1082
14,11,0.9945,1282
14,12,0.7495,1066
14,13,0.7389,360
14,14,0.8582,656
14,15,0.5542,406
14,16,0.7635,520
14,17,0.8449,303
14,18,0.5866,491
14,19,0.8282,454
15,0,0.9714,665
15,1,0.9611,1363
15,2,0.8119,1063
15,3,0.9561,775
15,4,1.0000,794
15,5,0.8059,809
15,6,0.7045,291
15,7,0.7318,1499
15,8,0.7984,382
15,9,0.8723,744
15,10,0.5887,1082
15,11,0.9945,1282
15,12,0.7533,1066
15,13,0.7444,360
15,14,0.8582,656
15,15,0.5567,406
15,16,0.7635,520
15,17,0.8449,303
15,18,0.5866,491
15,19,0.8282,454
16,0,0.9669,665
16,1,0.8137,1063
16,2,0.9611,1363
16,3,0.9561,775
16,4,0.5845,491
16,5,1.0000,794
16,6,0.5887,1082
16,7,0.8072,809
16,8,0.7984,382
16,9,0.7113,291
16,10,0.8282,454
16,11,0.7438,1499
16,12,0.8399,656
16,13,0.7580,1066
16,14,0.7361,360
16,15,0.7673,520
16,16,0.5542,406
16,17,0.8449,303
16,18,0.8723,744
16,19,0.9945,1282
17,0,0.9669,665
17,1,0.8175,1063
17,2,0.9611,1363
17,3,0.9561,775
17,4,0.5825,491
17,5,1.0000,794
17,6,0.5970,1082
17,7,0.8084,809
17,8,0.7984,382
17,9,0.7079,291
17,10,0.8282,454
17,11,0.7478,1499
17,12,0.8430,656
17,13,0.7720,1066
17,14,0.7361,360
17,15,0.7673,520
17,16,0.5567,406
17,17,0.8449,303
17,18,0.8723,744
17,19,0.9945,1282
18,0,0.9669,665
18,1,0.9611,1363
18,2,0.8213,1063
18,3,0.9561,775
18,4,1.0000,794
18,5,0.7498,1499
18,6,0.7079,291
18,7,0.9945,1282
18,8,0.7984,382
18,9,0.6035,1082
18,10,0.8282,454
18,11,0.8072,809
18,12,0.7417,360
18,13,0.8445,656
18,14,0.7880,1066
18,15,0.7673,520
18,16,0.5616,406
18,17,0.8449,303
18,18,0.5784,491
18,19,0.8723,744
19,0,0.9669,665
19,1,0.9611,1363
19,2,0.8288,1063
19,3,0.9561,775
19,4,1.0000,794
19,5,0.7552,1499
19,6,0.7113,291
19,7,0.9945,1282
19,8,0.7984,382
19,9,0.6128,1082
19,10,0.8282,454
19,11,0.8096,809
19,12,0.7389,360
19,13,0.8476,656
19,14,0.8068,1066
19,15,0.7673,520
19,16,0.5640,406
19,17,0.8449,303
19,18,0.5804,491
19,19,0.8723,744
20,0,0.9639,665
20,1,0.9604,1363
20,2,0.7605,1499
20,3,0.9561,775
20,4,1.0000,794
20,5,0.7079,291
20,6,0.8146,809
20,7,0.9945,1282
20,8,0.7984,382
20,9,0.6183,1082
20,10,0.8222,1063
20,11,0.8282,454
20,12,0.7389,360
20,13,0.8077,1066
20,14,0.8399,656
20,15,0.5714,406
20,16,0.7712,520
20,17,0.8449,303
20,18,0.5764,491
20,19,0.8723,744
21,0,0.9639,665
21,1,0.9604,1363
21,2,0.7638,1499
21,3,0.9561,775
21,4,1.0000,794
21,5,0.7079,291
21,6,0.8183,809
21,7,0.9945,1282
21,8,0.7984,382
21,9,0.6220,1082
21,10,0.8278,1063
21,11,0.8282,454
21,12,0.7389,360
21,13,0.8265,1066
21,14,0.8460,656
21,15,0.5739,406
21,16,0.7712,520
21,17,0.8449,303
21,18,0.5764,491
21,19,0.8723,744
22,0,0.9639,665
22,1,0.9604,1363
22,2,0.8325,1063
22,3,0.6322,1082
22,4,1.0000,794
22,5,0.8220,809
22,6,0.7079,291
22,7,0.9561,775
22,8,0.5764,491
22,9,0.7984,382
22,10,0.7738,1499
22,11,0.7444,360
22,12,0.9945,1282
22,13,0.8462,1066
22,14,0.8521,656
22,15,0.5739,406
22,16,0.7712,520
22,17,0.8449,303
22,18,0.8723,744
22,19,0.8282,454
23,0,0.9639,665
23,1,0.9604,1363
23,2,0.8391,1063
23,3,0.6433,1082
23,4,1.0000,794
23,5,0.8282,809
23,6,0.7113,291
23,7,0.9561,775
23,8,0.5743,491
23,9,0.7984,382
23,10,0.7805,1499
23,11,0.7472,360
23,12,0.9945,1282
23,13,0.8565,1066
23,14,0.8613,656
23,15,0.5690,406
23,16,0.7712,520
23,17,0.8449,303
23,18,0.8723,744
23,19,0.8282,454
24,0,0.9549,665
24,1,1.0000,794
24,2,0.9604,1363
24,3,0.7984,382
24,4,0.9561,775
24,5,0.6571,1082
24,6,0.8420,1063
24,7,0.7859,1499
24,8,0.5743,491
24,9,0.8723,744
24,10,0.8331,809
24,11,0.8282,454
24,12,0.7472,360
24,13,0.8659,1066
24,14,0.7750,520
24,15,0.9945,1282
24,16,0.8582,656
24,17,0.7148,291
24,18,0.5714,406
24,19,0.8449,303
25,0,0.9549,665
25,1,1.0000,794
25,2,0.9604,1363
25,3,0.7984,382
25,4,0.9561,775
25,5,0.6664,1082
25,6,0.8448,1063
25,7,0.7965,1499
25,8,0.5743,491
25,9,0.8723,744
25,10,0.8356,809
25,11,0.8282,454
25,12,0.7472,360
25,13,0.8724,1066
25,14,0.7750,520
25,15,0.9945,1282
25,16,0.8689,656
25,17,0.7113,291
25,18,0.5739,406
25,19,0.8449,303
26,0,0.9549,665
26,1,0.9604,1363
26,2,0.8467,1063
26,3,0.9561,775
26,4,1.0000,794
26,5,0.7045,291
26,6,0.6747,1082
26,7,0.8381,809
26,8,0.7984,382
26,9,0.5784,491
26,10,0.8025,1499
26,11,0.9945,1282
26,12,0.7472,360
26,13,0.8720,656
26,14,0.8799,1066
26,15,0.5764,406
26,16,0.7750,520
26,17,0.8449,303
26,18,0.8723,744
26,19,0.8282,454
27,0,0.9549,665
27,1,0.9604,1363
