round,cluster_id,accuracy,samples
35,2,0.9123,3000
35,3,0.8327,3000
35,4,0.9027,3000
36,0,0.8457,3000
36,1,0.9030,3000
36,2,0.8327,3000
36,3,0.8360,3000
36,4,0.9133,3000
37,0,0.8453,3000
37,1,0.9030,3000
37,2,0.8343,3000
37,3,0.8360,3000
37,4,0.9130,3000
38,0,0.8450,3000
38,1,0.9137,3000
38,2,0.8350,3000
38,3,0.8380,3000
38,4,0.9060,3000
39,0,0.8463,3000
39,1,0.9140,3000
39,2,0.8347,3000
39,3,0.8393,3000
39,4,0.9073,3000
40,0,0.8343,3000
40,1,0.8473,3000
40,2,0.9150,3000
40,3,0.8387,3000
40,4,0.9083,3000
41,0,0.8353,3000
41,1,0.8473,3000
41,2,0.9153,3000
41,3,0.8397,3000
41,4,0.9090,3000
42,0,0.8480,3000
42,1,0.8350,3000
42,2,0.9107,3000
42,3,0.8413,3000
42,4,0.9150,3000
43,0,0.8477,3000
43,1,0.8353,3000
43,2,0.9117,3000
43,3,0.8423,3000
43,4,0.9153,3000
44,0,0.8337,3000
44,1,0.8480,3000
44,2,0.8433,3000
44,3,0.9157,3000
44,4,0.9123,3000
45,0,0.8347,3000
45,1,0.8480,3000
45,2,0.8440,3000
45,3,0.9157,3000
45,4,0.9130,3000
46,0,0.8343,3000
46,1,0.8473,3000
46,2,0.8443,3000
46,3,0.9160,3000
46,4,0.9137,3000
47,0,0.8340,3000
47,1,0.8473,3000
47,2,0.8443,3000
47,3,0.9157,3000
47,4,0.9143,3000
48,0,0.8360,3000
48,1,0.9153,3000
48,2,0.8473,3000
48,3,0.9160,3000
48,4,0.8450,3000
49,0,0.8350,3000
49,1,0.9153,3000
49,2,0.8483,3000
49,3,0.9157,3000
49,4,0.8460,3000
50,0,0.8490,3000
50,1,0.9163,3000
50,2,0.8353,3000
50,3,0.8460,3000
50,4,0.9160,3000
51,0,0.8493,3000
51,1,0.9177,3000
51,2,0.8363,3000
51,3,0.8453,3000
51,4,0.9160,3000
52,0,0.8497,3000
52,1,0.9187,3000
52,2,0.8363,3000
52,3,0.8467,3000
52,4,0.9160,3000
53,0,0.8503,3000
53,1,0.9190,3000
53,2,0.8373,3000
53,3,0.8480,3000
53,4,0.9160,3000
54,0,0.8380,3000
54,1,0.9197,3000
54,2,0.8510,3000
54,3,0.8483,3000
54,4,0.9163,3000
55,0,0.8380,3000
55,1,0.9210,3000
55,2,0.8517,3000
55,3,0.8473,3000
55,4,0.9163,3000
56,0,0.8383,3000
56,1,0.8517,3000
56,2,0.8490,3000
56,3,0.9163,3000
56,4,0.9213,3000
57,0,0.8383,3000
57,1,0.8513,3000
57,2,0.8467,3000
57,3,0.9167,3000
57,4,0.9213,3000
58,0,0.8513,3000
58,1,0.8380,3000
58,2,0.8477,3000
58,3,0.9170,3000
58,4,0.9217,3000
59,0,0.8517,3000
59,1,0.8387,3000
59,2,0.8487,3000
59,3,0.9163,3000
59,4,0.9220,3000
60,0,0.8517,3000
60,1,0.9227,3000
60,2,0.8387,3000
60,3,0.9180,3000
60,4,0.8470,3000
61,0,0.8517,3000
61,1,0.9227,3000
61,2,0.8387,3000
61,3,0.9177,3000
61,4,0.8503,3000
62,0,0.8517,3000
62,1,0.8383,3000
62,2,0.9180,3000
62,3,0.8510,3000
62,4,0.9233,3000
63,0,0.8513,3000
63,1,0.8380,3000
63,2,0.9183,3000
63,3,0.8503,3000
63,4,0.9243,3000
64,0,0.8510,3000
64,1,0.9253,3000
64,2,0.8383,3000
64,3,0.8520,3000
64,4,0.9187,3000
65,0,0.8507,3000
65,1,0.9253,3000
65,2,0.8380,3000
65,3,0.8517,3000
65,4,0.9187,3000
66,0,0.8510,3000
66,1,0.8387,3000
66,2,0.8513,3000
66,3,0.9187,3000
66,4,0.9257,3000
67,0,0.8510,3000
67,1,0.8387,3000
67,2,0.8510,3000
67,3,0.9187,3000
67,4,0.9263,3000
68,0,0.8523,3000
68,1,0.9187,3000
68,2,0.8517,3000
68,3,0.8387,3000
68,4,0.9267,3000
69,0,0.8527,3000
69,1,0.9187,3000
69,2,0.8517,3000
69,3,0.8393,3000
69,4,0.9270,3000
70,0,0.8527,3000
70,1,0.8393,3000
70,2,0.8517,3000
70,3,0.9193,3000
70,4,0.9273,3000
71,0,0.8530,3000
71,1,0.8400,3000
71,2,0.8517,3000
71,3,0.9190,3000
71,4,0.9270,3000
72,0,0.8537,3000
72,1,0.9273,3000
72,2,0.8407,3000
72,3,0.8517,3000
72,4,0.9197,3000
73,0,0.8540,3000
73,1,0.9270,3000
73,2,0.8407,3000
73,3,0.8517,3000
73,4,0.9200,3000
74,0,0.8410,3000
74,1,0.9277,3000
74,2,0.8540,3000
74,3,0.8520,3000
74,4,0.9203,3000
75,0,0.8413,3000
75,1,0.9283,3000
75,2,0.8540,3000
75,3,0.8520,3000
75,4,0.9200,3000
76,0,0.8547,3000
76,1,0.9197,3000
76,2,0.8410,3000
76,3,0.8520,3000
76,4,0.9280,3000
77,0,0.8543,3000
77,1,0.9210,3000
77,2,0.8410,3000
77,3,0.8523,3000
77,4,0.9280,3000
78,0,0.8550,3000
78,1,0.9210,3000
78,2,0.8417,3000
78,3,0.8527,3000
78,4,0.9280,3000
79,0,0.8553,3000
79,1,0.9210,3000
79,2,0.8417,3000
79,3,0.8530,3000
79,4,0.9280,3000
80,0,0.8560,3000
80,1,0.8423,3000
80,2,0.8530,3000
80,3,0.9210,3000
80,4,0.9277,3000
81,0,0.8557,3000
81,1,0.8427,3000
81,2,0.8533,3000
81,3,0.9210,3000
81,4,0.9280,3000
82,0,0.8433,3000
82,1,0.9280,3000
82,2,0.8563,3000
82,3,0.8537,3000
82,4,0.9210,3000
83,0,0.8440,3000
83,1,0.9280,3000
83,2,0.8567,3000
83,3,0.8547,3000
83,4,0.9220,3000
84,0,0.8567,3000
84,1,0.8440,3000
84,2,0.8550,3000
84,3,0.9223,3000
84,4,0.9277,3000
85,0,0.8567,3000
85,1,0.8440,3000
85,2,0.8567,3000
85,3,0.9223,3000
85,4,0.9287,3000
86,0,0.8450,3000
86,1,0.9227,3000
86,2,0.8573,3000
86,3,0.8583,3000
86,4,0.9290,3000
87,0,0.8450,3000
87,1,0.9227,3000
87,2,0.8577,3000
87,3,0.8590,3000
87,4,0.9290,3000
88,0,0.8570,3000
88,1,0.9293,3000
88,2,0.8450,3000
88,3,0.8593,3000
88,4,0.9230,3000
89,0,0.8577,3000
89,1,0.9297,3000
89,2,0.8447,3000
89,3,0.8597,3000
89,4,0.9230,3000
90,0,0.8580,3000
90,1,0.8450,3000
90,2,0.9227,3000
90,3,0.8597,3000
90,4,0.9297,3000
91,0,0.8580,3000
91,1,0.8453,3000
91,2,0.9227,3000
91,3,0.8607,3000
91,4,0.9300,3000
92,0,0.8453,3000
92,1,0.8577,3000
92,2,0.9237,3000
92,3,0.8620,3000
92,4,0.9307,3000
93,0,0.8463,3000
93,1,0.8583,3000
93,2,0.9230,3000
93,3,0.8613,3000
93,4,0.9307,3000
94,0,0.8463,3000
94,1,0.8583,3000
94,2,0.8627,3000
94,3,0.9230,3000
94,4,0.9313,3000
95,0,0.8467,3000
95,1,0.8583,3000
95,2,0.8630,3000
95,3,0.9230,3000
95,4,0.9313,3000
96,0,0.8587,3000
96,1,0.8467,3000
96,2,0.9240,3000
96,3,0.8620,3000
96,4,0.9317,3000
97,0,0.8593,3000
97,1,0.8470,3000
97,2,0.9240,3000
97,3,0.8643,3000
97,4,0.9317,3000
98,0,0.8597,3000
98,1,0.9317,3000
98,2,0.8637,3000
98,3,0.9237,3000
98,4,0.8470,3000
99,0,0.8597,3000
99,1,0.9323,3000
99,2,0.8637,3000
99,3,0.9240,3000
99,4,0.8470,3000
100,0,0.8597,3000
100,1,0.8467,3000
100,2,0.8647,3000
100,3,0.9243,3000
100,4,0.9323,3000
