round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2042,0.1944,0.1710,0.1250,0.1710,0.1198,0.7732,26.9305,31.4943,58.4248
1,0.1873,0.1814,0.1710,0.1210,0.1710,0.1182,0.6223,26.9305,26.9305,53.8611
2,0.1891,0.1831,0.2015,0.1212,0.2015,0.1175,0.6206,26.9305,31.4943,58.4248
3,0.1965,0.1897,0.2015,0.1233,0.2015,0.1202,0.5861,26.9305,26.9305,53.8611
4,0.2052,0.1952,0.2016,0.1258,0.2016,0.1221,0.5708,26.9305,31.4943,58.4248
5,0.2127,0.1993,0.2016,0.1278,0.2016,0.1242,0.5554,26.9305,26.9305,53.8611
6,0.2076,0.2020,0.1977,0.1271,0.1977,0.1243,0.5514,26.9305,31.4943,58.4248
7,0.2066,0.2030,0.1977,0.1284,0.1977,0.1259,0.5376,26.9305,26.9305,53.8611
8,0.2105,0.2032,0.1921,0.1289,0.1921,0.1261,0.5487,26.9305,31.4943,58.4248
9,0.2164,0.2067,0.1921,0.1302,0.1921,0.1271,0.5411,26.9305,26.9305,53.8611
10,0.2447,0.2404,0.1885,0.1382,0.1885,0.1363,0.7461,26.9305,31.4943,58.4248
11,0.2355,0.2333,0.1885,0.1369,0.1885,0.1362,0.6896,26.9305,26.9305,53.8611
12,0.1854,0.1831,0.1853,0.1240,0.1853,0.1225,0.5686,26.9305,31.4943,58.4248
13,0.2039,0.1891,0.1853,0.1309,0.1853,0.1259,0.5594,26.9305,26.9305,53.8611
14,0.2299,0.2297,0.1835,0.1376,0.1835,0.1369,0.6553,26.9305,31.4943,58.4248
15,0.2250,0.2255,0.1835,0.1369,0.1835,0.1371,0.6402,26.9305,26.9305,53.8611
16,0.2257,0.2275,0.1833,0.1367,0.1833,0.1373,0.6379,26.9305,31.4943,58.4248
17,0.2272,0.2288,0.1833,0.1376,0.1833,0.1382,0.6333,26.9305,26.9305,53.8611
18,0.2182,0.2093,0.1842,0.1341,0.1842,0.1274,0.5724,26.9305,31.4943,58.4248
19,0.2375,0.2160,0.1842,0.1403,0.1842,0.1307,0.5601,26.9305,26.9305,53.8611
20,0.2469,0.2422,0.1832,0.1438,0.1832,0.1411,0.6641,26.9305,31.4943,58.4248
21,0.2366,0.2341,0.1832,0.1432,0.1832,0.1411,0.6557,26.9305,26.9305,53.8611
22,0.2309,0.2165,0.1826,0.1407,0.1826,0.1352,0.5413,26.9305,31.4943,58.4248
23,0.2343,0.2205,0.1826,0.1415,0.1826,0.1363,0.5350,26.9305,26.9305,53.8611
24,0.2339,0.2207,0.1832,0.1409,0.1832,0.1362,0.5488,26.9305,31.4943,58.4248
25,0.2419,0.2299,0.1832,0.1420,0.1832,0.1376,0.5421,26.9305,26.9305,53.8611
26,0.2129,0.2088,0.1843,0.1390,0.1844,0.1362,0.5295,26.9305,31.4943,58.4248
27,0.2145,0.2105,0.1843,0.1398,0.1844,0.1374,0.5238,26.9305,26.9305,53.8611
28,0.2165,0.2076,0.1846,0.1333,0.1846,0.1310,0.5462,26.9305,31.4943,58.4248
29,0.2200,0.2069,0.1846,0.1393,0.1846,0.1336,0.5296,26.9305,26.9305,53.8611
30,0.2207,0.2121,0.1853,0.1494,0.1853,0.1449,0.5697,26.9305,31.4943,58.4248
31,0.2257,0.2197,0.1853,0.1498,0.1853,0.1446,0.5596,26.9305,26.9305,53.8611
32,0.2329,0.2189,0.1841,0.1422,0.1841,0.1373,0.5290,26.9305,31.4943,58.4248
33,0.2306,0.2176,0.1841,0.1426,0.1841,0.1380,0.5173,26.9305,26.9305,53.8611
34,0.2324,0.2196,0.1844,0.1431,0.1844,0.1387,0.5134,26.9305,31.4943,58.4248
35,0.2338,0.2215,0.1844,0.1438,0.1844,0.1398,0.5112,26.9305,26.9305,53.8611
36,0.2336,0.2200,0.1817,0.1425,0.1817,0.1385,0.5234,26.9305,31.4943,58.4248
37,0.2335,0.2215,0.1817,0.1430,0.1817,0.1390,0.5159,26.9305,26.9305,53.8611
38,0.2465,0.2349,0.1829,0.1480,0.1829,0.1415,0.5351,26.9305,31.4943,58.4248
39,0.2499,0.2380,0.1829,0.1503,0.1829,0.1428,0.5306,26.9305,26.9305,53.8611
40,0.2350,0.2245,0.1814,0.1430,0.1814,0.1390,0.5137,26.9305,31.4943,58.4248
41,0.2399,0.2292,0.1814,0.1445,0.1814,0.1407,0.5095,26.9305,26.9305,53.8611
42,0.2283,0.2171,0.1819,0.1469,0.1819,0.1449,0.6274,26.9305,31.4943,58.4248
43,0.2337,0.2293,0.1819,0.1488,0.1819,0.1463,0.5937,26.9305,26.9305,53.8611
44,0.2426,0.2394,0.1854,0.1469,0.1854,0.1456,0.6436,26.9305,31.4943,58.4248
45,0.2425,0.2419,0.1854,0.1480,0.1854,0.1472,0.6110,26.9305,26.9305,53.8611
46,0.2381,0.2249,0.1811,0.1420,0.1811,0.1381,0.5078,26.9305,31.4943,58.4248
47,0.2401,0.2263,0.1811,0.1448,0.1811,0.1406,0.5018,26.9305,26.9305,53.8611
48,0.2477,0.2365,0.1845,0.1457,0.1845,0.1420,0.4969,26.9305,31.4943,58.4248
49,0.2492,0.2380,0.1845,0.1457,0.1845,0.1427,0.4969,26.9305,26.9305,53.8611
50,0.2735,0.2620,0.1818,0.1476,0.1818,0.1432,0.5322,26.9305,31.4943,58.4248
51,0.2675,0.2551,0.1818,0.1516,0.1818,0.1453,0.5234,26.9305,26.9305,53.8611
52,0.2404,0.2293,0.1820,0.1438,0.1820,0.1405,0.5149,26.9305,31.4943,58.4248
53,0.2446,0.2325,0.1820,0.1461,0.1820,0.1426,0.5061,26.9305,26.9305,53.8611
54,0.2648,0.2578,0.1821,0.1552,0.1821,0.1520,0.6610,26.9305,31.4943,58.4248
55,0.2497,0.2460,0.1821,0.1562,0.1821,0.1513,0.6297,26.9305,26.9305,53.8611
56,0.2470,0.2354,0.1833,0.1437,0.1833,0.1402,0.5119,26.9305,31.4943,58.4248
57,0.2512,0.2408,0.1833,0.1459,0.1833,0.1432,0.5062,26.9305,26.9305,53.8611
58,0.2577,0.2434,0.1805,0.1518,0.1805,0.1471,0.5405,26.9305,31.4943,58.4248
59,0.2584,0.2430,0.1805,0.1544,0.1805,0.1498,0.5359,26.9305,26.9305,53.8611
60,0.2414,0.2261,0.1809,0.1478,0.1809,0.1430,0.5233,26.9305,31.4943,58.4248
61,0.2444,0.2310,0.1809,0.1492,0.1809,0.1449,0.5155,26.9305,26.9305,53.8611
62,0.3265,0.3315,0.1806,0.1687,0.1806,0.1673,0.6378,26.9305,31.4943,58.4248
63,0.3071,0.3081,0.1806,0.1653,0.1806,0.1620,0.6209,26.9305,26.9305,53.8611
64,0.2546,0.2427,0.1795,0.1550,0.1795,0.1511,0.6068,26.9305,31.4943,58.4248
65,0.2530,0.2439,0.1795,0.1542,0.1795,0.1515,0.6075,26.9305,26.9305,53.8611
66,0.2556,0.2401,0.1766,0.1492,0.1766,0.1443,0.5059,26.9305,31.4943,58.4248
67,0.2550,0.2424,0.1766,0.1489,0.1766,0.1449,0.5002,26.9305,26.9305,53.8611
68,0.2848,0.2799,0.1753,0.1640,0.1753,0.1627,0.5969,26.9305,31.4943,58.4248
69,0.2824,0.2785,0.1753,0.1640,0.1753,0.1626,0.5903,26.9305,26.9305,53.8611
70,0.2535,0.2414,0.1800,0.1525,0.1800,0.1495,0.5273,26.9305,31.4943,58.4248
71,0.2516,0.2390,0.1800,0.1516,0.1800,0.1479,0.5170,26.9305,26.9305,53.8611
72,0.3141,0.3116,0.1792,0.1623,0.1792,0.1568,0.5978,26.9305,31.4943,58.4248
73,0.2958,0.2988,0.1792,0.1655,0.1792,0.1615,0.6014,26.9305,26.9305,53.8611
74,0.2770,0.2659,0.1758,0.1564,0.1758,0.1511,0.5291,26.9305,31.4943,58.4248
75,0.2799,0.2678,0.1758,0.1589,0.1758,0.1523,0.5182,26.9305,26.9305,53.8611
76,0.2646,0.2607,0.1742,0.1528,0.1742,0.1506,0.5615,26.9305,31.4943,58.4248
77,0.2590,0.2530,0.1742,0.1561,0.1742,0.1546,0.5435,26.9305,26.9305,53.8611
78,0.2638,0.2565,0.1729,0.1597,0.1729,0.1571,0.5305,26.9305,31.4943,58.4248
79,0.2692,0.2600,0.1729,0.1578,0.1729,0.1533,0.5169,26.9305,26.9305,53.8611
80,0.2530,0.2409,0.1705,0.1499,0.1705,0.1452,0.4966,26.9305,31.4943,58.4248
81,0.2544,0.2414,0.1705,0.1502,0.1705,0.1461,0.4920,26.9305,26.9305,53.8611
82,0.3268,0.3236,0.1758,0.1597,0.1758,0.1552,0.7395,26.9305,31.4943,58.4248
