case,fusion_mode,router_enable,temp_cal,learned_blend_auto,final_round,local_test_acc,pm_local_test_acc,gm_only_global_test_acc,global_test_acc,total_mb,acc_path,console_log
exp01_soft_base,soft,false,false,false,12,0.1144,0.1157,0.1114,0.1144,57.7730,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_121758/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp01_soft_base.log
exp02_soft_tempcal,soft,false,true,false,12,0.1148,0.1155,0.1114,0.1149,57.7730,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_123559/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp02_soft_tempcal.log
exp03_poe_tempcal,poe_soft,false,true,false,12,0.1142,0.1156,0.1116,0.1146,57.7730,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_125534/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp03_poe_tempcal.log
exp04_learned_blend,learned_blend,false,true,true,12,0.0921,0.1154,0.1112,0.1143,57.7730,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_131159/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp04_learned_blend.log
exp05_pm_defer_tempcal,pm_defer_hard,false,true,false,12,0.1114,0.1155,0.1114,0.1114,57.7730,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_132629/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp05_pm_defer_tempcal.log
exp06_router_soft_hneg,router_soft,true,true,false,12,0.1027,0.1001,0.1010,0.1009,59.0253,/home/mulsoap0504/FedCD/FedCD-Core/logs/FedCD/GM_VGG8W256_PM_VGG8W1290_Fext_SmallFExt/pat/NC_20/date_20260222/time_133945/acc.csv,/home/mulsoap0504/FedCD/compare/20260222_121748_fusion_mech_explore/console/exp06_router_soft_hneg.log
