round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.4223,0.5734,0.1520,0.1469,0.1520,0.1295,1.6046,26.0750,31.2906,57.3656
1,0.5521,0.6347,0.1520,0.1436,0.1520,0.1295,1.3334,26.0750,26.0750,52.1500
2,0.5019,0.6577,0.1851,0.1693,0.1851,0.1323,1.2251,26.0750,31.2906,57.3656
3,0.5326,0.6710,0.1851,0.1694,0.1851,0.1347,1.1767,26.0750,26.0750,52.1500
4,0.5052,0.6812,0.1935,0.1750,0.1935,0.1366,1.1387,26.0750,31.2906,57.3656
5,0.5198,0.6925,0.1935,0.1758,0.1935,0.1387,1.1187,26.0750,26.0750,52.1500
6,0.5262,0.7036,0.1963,0.1799,0.1963,0.1409,1.0993,26.0750,31.2906,57.3656
7,0.5352,0.7116,0.1963,0.1800,0.1963,0.1424,1.0874,26.0750,26.0750,52.1500
8,0.5434,0.7169,0.2106,0.1922,0.2106,0.1434,1.0671,26.0750,31.2906,57.3656
9,0.5515,0.7203,0.2106,0.1923,0.2106,0.1442,1.0586,26.0750,26.0750,52.1500
10,0.5509,0.7248,0.2191,0.1992,0.2191,0.1451,1.0498,26.0750,31.2906,57.3656
11,0.5565,0.7266,0.2191,0.1991,0.2191,0.1454,1.0429,26.0750,26.0750,52.1500
12,0.5526,0.7319,0.2344,0.2030,0.2344,0.1463,1.0312,26.0750,31.2906,57.3656
13,0.5577,0.7371,0.2344,0.2030,0.2344,0.1474,1.0267,26.0750,26.0750,52.1500
14,0.5642,0.7388,0.2417,0.2096,0.2417,0.1478,1.0170,26.0750,31.2906,57.3656
15,0.5686,0.7411,0.2417,0.2095,0.2417,0.1483,1.0126,26.0750,26.0750,52.1500
16,0.5613,0.7432,0.2502,0.2186,0.2502,0.1487,1.0020,26.0750,31.2906,57.3656
17,0.5646,0.7460,0.2502,0.2182,0.2502,0.1492,0.9990,26.0750,26.0750,52.1500
18,0.5675,0.7481,0.2597,0.2254,0.2597,0.1496,0.9898,26.0750,31.2906,57.3656
19,0.5702,0.7487,0.2597,0.2250,0.2597,0.1498,0.9876,26.0750,26.0750,52.1500
20,0.5701,0.7521,0.2652,0.2281,0.2652,0.1505,0.9814,26.0750,31.2906,57.3656
