round,local_test_acc,pm_local_test_acc,gm_local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
68,0.3177,0.3108,0.1814,0.2377,0.1814,0.2305,1.1530,26.9305,31.4943,58.4248
69,0.3177,0.3109,0.1814,0.2383,0.1814,0.2313,1.1487,26.9305,26.9305,53.8611
70,0.3339,0.3253,0.1953,0.2386,0.1953,0.2288,1.1778,26.9305,31.4943,58.4248
71,0.3353,0.3240,0.1953,0.2394,0.1953,0.2301,1.1627,26.9305,26.9305,53.8611
72,0.3209,0.3162,0.1882,0.2350,0.1882,0.2275,1.1774,26.9305,31.4943,58.4248
73,0.3212,0.3192,0.1882,0.2365,0.1882,0.2301,1.1685,26.9305,26.9305,53.8611
74,0.3217,0.3178,0.1870,0.2368,0.1870,0.2303,1.1382,26.9305,31.4943,58.4248
75,0.3208,0.3177,0.1870,0.2379,0.1870,0.2313,1.1310,26.9305,26.9305,53.8611
76,0.3197,0.3140,0.1888,0.2381,0.1888,0.2321,1.1291,26.9305,31.4943,58.4248
77,0.3216,0.3174,0.1888,0.2393,0.1888,0.2327,1.1268,26.9305,26.9305,53.8611
78,0.3241,0.3182,0.1894,0.2368,0.1894,0.2296,1.1381,26.9305,31.4943,58.4248
79,0.3249,0.3175,0.1894,0.2386,0.1894,0.2316,1.1341,26.9305,26.9305,53.8611
80,0.3117,0.3097,0.1937,0.2353,0.1937,0.2298,1.2023,26.9305,31.4943,58.4248
81,0.3106,0.3055,0.1937,0.2426,0.1937,0.2362,1.1866,26.9305,26.9305,53.8611
82,0.3219,0.3201,0.1897,0.2402,0.1897,0.2346,1.1638,26.9305,31.4943,58.4248
83,0.3256,0.3219,0.1897,0.2405,0.1897,0.2346,1.1585,26.9305,26.9305,53.8611
84,0.3230,0.3168,0.1895,0.2472,0.1895,0.2396,1.1359,26.9305,31.4943,58.4248
85,0.3219,0.3128,0.1895,0.2492,0.1895,0.2415,1.1311,26.9305,26.9305,53.8611
86,0.3271,0.3235,0.1846,0.2437,0.1846,0.2375,1.1328,26.9305,31.4943,58.4248
87,0.3315,0.3267,0.1846,0.2432,0.1846,0.2373,1.1262,26.9305,26.9305,53.8611
88,0.3207,0.3140,0.1845,0.2376,0.1845,0.2298,1.2031,26.9305,31.4943,58.4248
89,0.3253,0.3180,0.1845,0.2411,0.1845,0.2334,1.1747,26.9305,26.9305,53.8611
90,0.3246,0.3167,0.1908,0.2423,0.1908,0.2332,1.1496,26.9305,31.4943,58.4248
91,0.3282,0.3177,0.1908,0.2453,0.1908,0.2361,1.1434,26.9305,26.9305,53.8611
92,0.3335,0.3268,0.1872,0.2410,0.1872,0.2358,1.1598,26.9305,31.4943,58.4248
93,0.3309,0.3262,0.1872,0.2413,0.1872,0.2369,1.1512,26.9305,26.9305,53.8611
94,0.3271,0.3213,0.1902,0.2492,0.1902,0.2414,1.1315,26.9305,31.4943,58.4248
95,0.3256,0.3193,0.1902,0.2507,0.1902,0.2436,1.1246,26.9305,26.9305,53.8611
96,0.3298,0.3162,0.1912,0.2470,0.1912,0.2380,1.1751,26.9305,31.4943,58.4248
97,0.3287,0.3153,0.1912,0.2470,0.1912,0.2384,1.1584,26.9305,26.9305,53.8611
98,0.3280,0.3196,0.1843,0.2433,0.1843,0.2388,1.1755,26.9305,31.4943,58.4248
99,0.3282,0.3222,0.1843,0.2458,0.1843,0.2418,1.1605,26.9305,26.9305,53.8611
100,0.3379,0.3350,0.1913,0.2387,0.1913,0.2324,1.1899,26.9305,31.4943,58.4248
