round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.8316,0.1660,0.0849,0.6066,495.2512,495.2512,990.5023
1,0.8583,0.1717,0.0849,0.3744,495.2512,495.2512,990.5023
2,0.8699,0.1740,0.0849,0.3149,495.2512,495.2512,990.5023
3,0.8753,0.1751,0.0849,0.2880,495.2512,495.2512,990.5023
4,0.2124,0.2507,0.0982,2.6678,495.2512,9619.0019,10114.2531
5,0.8716,0.1768,0.0982,0.3197,495.2512,495.2512,990.5023
6,0.8663,0.1740,0.0982,0.3203,495.2512,495.2512,990.5023
7,0.8769,0.1749,0.0982,0.2863,495.2512,495.2512,990.5023
8,0.6741,0.2229,0.0988,1.0479,495.2512,9619.0019,10114.2531
9,0.7631,0.1522,0.0988,1.1507,495.2512,495.2512,990.5023
10,0.8613,0.1721,0.0988,0.3945,495.2512,495.2512,990.5023
11,0.8112,0.1622,0.0988,0.7757,495.2512,495.2512,990.5023
12,0.6712,0.2396,0.0936,1.0244,495.2512,9619.0019,10114.2531
13,0.8537,0.1721,0.0936,0.4180,495.2512,495.2512,990.5023
14,0.8455,0.1700,0.0936,0.3939,495.2512,495.2512,990.5023
15,0.8609,0.1727,0.0936,0.3405,495.2512,495.2512,990.5023
16,0.7717,0.2271,0.0980,0.7259,495.2512,9619.0019,10114.2531
17,0.8404,0.1696,0.0980,0.5854,495.2512,495.2512,990.5023
18,0.8691,0.1741,0.0980,0.3400,495.2512,495.2512,990.5023
19,0.8640,0.1732,0.0980,0.4200,495.2512,495.2512,990.5023
20,0.6715,0.2205,0.0903,0.9245,495.2512,9619.0019,10114.2531
21,0.8463,0.1719,0.0903,0.8182,495.2512,495.2512,990.5023
22,0.8608,0.1750,0.0903,0.4978,495.2512,495.2512,990.5023
23,0.8355,0.1690,0.0903,0.6001,495.2512,495.2512,990.5023
24,0.7260,0.1883,0.0971,0.8624,495.2512,9619.0019,10114.2531
25,0.8357,0.1676,0.0971,0.8426,495.2512,495.2512,990.5023
