round,local_test_acc,global_test_acc,gm_only_global_test_acc,pm_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.6057,0.1534,0.1732,0.1344,1.1587,15.2351,30.4703,45.7054
1,0.6494,0.1557,0.1732,0.1393,1.1026,15.2351,15.2351,30.4703
2,0.6961,0.1465,0.2142,0.1419,1.0605,15.2351,30.4703,45.7054
3,0.7105,0.1474,0.2142,0.1440,1.0404,15.2351,15.2351,30.4703
4,0.6973,0.1656,0.2319,0.1458,1.0139,15.2351,30.4703,45.7054
5,0.7020,0.1651,0.2319,0.1467,1.0029,15.2351,15.2351,30.4703
6,0.7204,0.1574,0.2378,0.1474,0.9957,15.2351,30.4703,45.7054
7,0.7297,0.1581,0.2378,0.1487,0.9864,15.2351,15.2351,30.4703
8,0.7394,0.1545,0.2392,0.1489,1.0029,15.2351,30.4703,45.7054
9,0.7446,0.1561,0.2392,0.1509,0.9927,15.2351,15.2351,30.4703
10,0.7525,0.1547,0.1877,0.1520,1.0057,15.2351,30.4703,45.7054
11,0.7520,0.1547,0.1877,0.1524,1.0006,15.2351,15.2351,30.4703
