algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Local,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T03:45:39Z,2026-03-20T04:20:20Z
Local,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T04:20:20Z,2026-03-20T04:50:43Z
Local,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T04:50:43Z,2026-03-20T05:20:31Z
Local,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T05:20:31Z,2026-03-20T05:50:29Z
FedAS,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T05:50:29Z,2026-03-20T07:11:48Z
FedAS,dir0.1_nc20,MNIST_dir0.1_nc20,failed,1,2026-03-20T07:11:48Z,2026-03-20T07:43:07Z
FedAS,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T07:43:07Z,2026-03-20T09:16:10Z
FedAS,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T09:16:10Z,2026-03-20T11:00:13Z
FedKD,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T11:00:13Z,2026-03-20T11:59:30Z
FedKD,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T11:59:30Z,2026-03-20T12:58:24Z
FedKD,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T12:58:24Z,2026-03-20T13:57:27Z
FedKD,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T13:57:27Z,2026-03-20T14:55:13Z
FedAvg,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T14:55:13Z,2026-03-20T15:27:36Z
FedAvg,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T15:27:36Z,2026-03-20T16:00:07Z
FedAvg,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T16:00:07Z,2026-03-20T16:32:44Z
FedAvg,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T16:32:44Z,2026-03-20T17:04:53Z
FedProx,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T17:04:53Z,2026-03-20T17:40:17Z
FedProx,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T17:40:17Z,2026-03-20T18:15:30Z
FedProx,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T18:15:30Z,2026-03-20T18:50:56Z
FedProx,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T18:50:56Z,2026-03-20T19:26:53Z
Ditto,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T19:26:53Z,2026-03-20T20:11:11Z
Ditto,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T20:11:11Z,2026-03-20T20:55:27Z
Ditto,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T20:55:27Z,2026-03-20T21:38:47Z
Ditto,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T21:38:47Z,2026-03-20T22:12:11Z
FedBN,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T22:12:11Z,2026-03-20T22:29:32Z
FedBN,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T22:29:32Z,2026-03-20T22:46:48Z
FedBN,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-20T22:46:48Z,2026-03-20T23:03:38Z
FedBN,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-20T23:03:38Z,2026-03-20T23:20:26Z
FedNTD,pat_nc20,MNIST_pat_nc20,ok,0,2026-03-20T23:20:26Z,2026-03-20T23:40:48Z
FedNTD,dir0.1_nc20,MNIST_dir0.1_nc20,ok,0,2026-03-20T23:40:48Z,2026-03-21T00:00:58Z
FedNTD,dir0.5_nc20,MNIST_dir0.5_nc20,ok,0,2026-03-21T00:00:58Z,2026-03-21T00:21:00Z
FedNTD,dir1.0_nc20,MNIST_dir1.0_nc20,ok,0,2026-03-21T00:21:00Z,2026-03-21T00:41:15Z
